BE0000048	凝血酶原
BE0004631	钾\/钠超极化激活的环核苷酸门控通道2
BE0001545	乙醇脱氢酶YqhD
BE0001497	S-核糖同型半胱氨酸裂解酶
BE0000975	C-C基序趋化因子5
BE0002730	阿拉伯半乳聚糖内-1,4-β-半乳糖苷酶
BE0002731	磷酸丝氨酸转氨酶
BE0001554	3-α-（或20-β）-羟基类固醇脱氢酶
BE0001478	基因组多蛋白
BE0001550	胆固醇氧化酶
BE0001527	隔膜形成蛋白
BE0001489	脱氧胞苷三磷酸脱氨酶
BE0001437	可能的2-磷酸磺基辛酸磷酸酶
BE0001439	葡萄糖-6-磷酸1-脱氢酶
BE0001467	蝶呤还原酶1
BE0001552	葡萄糖——果糖氧化还原酶
BE0000004	凝血因子XIII A链
BE0003543	细胞色素P450 1A1
BE0002732	犬尿氨酸酶
BE0003797	谷氨酸消旋酶
BE0004543	Cathelicidin抗菌肽
BE0001446	甲酸脱氢酶H
BE0001511	半胱氨酸脱硫酶
BE0001508	半胱氨酸脱硫酶
BE0002733	腺苷酸环化酶
BE0001010	组织蛋白酶G
BE0009962	对羟基苯甲酸羟化酶
BE0001445	莽草酸脱氢酶
BE0002014	酰基辅酶A硫代酯酶I
BE0001434	甲基趋化蛋白II
BE0001526	N-乙酰鸟氨酸氨甲酰转移酶
BE0001460	4-羟基四氢二吡啶酸合酶
BE0001687	双（5'-腺苷）-三磷酸酶
BE0004145	酪氨酸蛋白激酶JAK1
BE0004338	乳糖酶根皮苷水解酶
BE0002734	嘌呤核苷磷酸化酶
BE0001055	GTP环水解酶1
BE0000988	β分泌酶1
BE0001330	木糖异构酶
BE0001056	葡萄糖激酶
BE0002844	醛糖1-差异构酶
BE0002735	葡萄糖激酶
BE0002736	岩藻糖结合凝集素PA-IIL
BE0002737	BH0236蛋白质
BE0002738	昆布酶
BE0002739	内切-1,4-β-木聚糖酶A
BE0002740	纤维素酶B
BE0002741	内切葡聚糖酶C
BE0002059	纤维素1,4-β-纤维糖苷酶（还原端）细胞
BE0002058	D-半乳糖结合周质蛋白
BE0001567	葡萄糖胺-6-磷酸异构酶1
BE0001847	β-淀粉酶
BE0001935	ADP核糖焦磷酸酶，线粒体
BE0004581	SWI\/SNF相关基质相关肌动蛋白依赖性调节因子染色质亚家族A成员5
BE0001762	环麦芽糊精葡聚糖转移酶
BE0001947	B型肠毒素
BE0001671	α-淀粉酶1
BE0001698	麦芽糊精磷酸化酶
BE0001772	志贺样毒素1亚单位B
BE0004512	神经细胞核心蛋白
BE0001654	β-葡聚糖酶
BE0001728	醌蛋白葡萄糖脱氢酶B
BE0001734	α淀粉酶
BE0001625	α淀粉酶
BE0002060	纤维素酶B
BE0002078	天冬氨酸解氨酶
BE0002830	淀粉蔗糖酶
BE0003024	推测的单加氧酶MoxC
BE0003241	内切葡聚糖酶E1
BE0003242	D-半乳糖结合周质蛋白
BE0002948	生态蛋白
BE0004492	角蛋白相关蛋白5-2
BE0004592	唾液凝血酶
BE0003243	新普鲁兰酶
BE0003244	内切-1,4-β-木聚糖酶A
BE0003245	麦芽多糖
BE0003246	己糖激酶
BE0003070	内切-1,4-β-木聚糖酶
BE0003212	麦芽多糖
BE0003247	半乳糖凝集素-2
BE0002951	麦芽寡糖海藻糖海藻糖水解酶
BE0003248	无机多聚磷酸盐\/ATP葡甘糖激酶
BE0002635	双乙酰还原酶[（S）-乙偶姻形成]
BE0003169	衣壳蛋白VP1
BE0003072	水解酶
BE0001008	半乳糖凝集素-7
BE0004472	角蛋白相关蛋白5-3
BE0003249	内切葡聚糖酶C307
BE0003250	内切-1,4-β-葡聚糖酶EngF
BE0003251	内切葡聚糖酶E-4
BE0003165	Orf蛋白
BE0001295	双功能尾蛋白
BE0001107	肺表面活性物质相关蛋白D
BE0000926	β干扰素
BE0001996	麦芽糖结合周质蛋白
BE0002017	内切葡聚糖酶A
BE0004352	乙醇脱氢酶[NADP（+）]
BE0001631	互变异构酶
BE0003882	胞浆氨基肽酶
BE0001073	6-磷酸果糖-2-激酶\/果糖-2,6-双磷酸酶1
BE0001880	L-鼠李糖异构酶
BE0003957	糖精
BE0002742	2-羟基-6-氧代-7-甲基八-2,4-二烯酸酯水解酶
BE0000787	Gag-Pol多蛋白
BE0001907	Gag-Pro-Pol多蛋白
BE0001584	几丁质酶B
BE0004172	大肠杆菌素I受体
BE0003941	外膜孔蛋白C
BE0004530	泛素结合酶E2 D2
BE0001898	热休克蛋白HSP90β
BE0002743	HTH型转录调节因子EthR
BE0001732	Gag-Pol多蛋白
BE0001867	HTH型转录调节因子TreR
BE0002744	CCA加酶
BE0002745	葡萄糖-1-磷酸胞苷酰转移酶
BE0001839	2-C-甲基-D-赤藓糖醇4-磷酸胞苷基转移酶
BE0001644	甘油-3-磷酸胞苷酰转移酶
BE0001661	2-C-甲基-D-赤藓糖醇4-磷酸胞苷基转移酶
BE0001522	3-脱氧甘露辛酸胞苷酰转移酶
BE0002020	辅酶A生物合成双功能蛋白CoaBC
BE0001801	异天冬氨酰二肽酶
BE0000124	双功能蛋白FolC
BE0001904	β-内酰胺诱导青霉素结合蛋白
BE0001626	氨基葡萄糖-6-磷酸脱氨酶
BE0003895	细胞色素c氧化酶亚单位1
BE0003896	细胞色素c氧化酶亚基2
BE0003897	细胞色素c氧化酶多肽2A
BE0003898	大肠杆菌酶
BE0003899	细胞色素c氧化酶亚单位1
BE0003900	细胞色素c氧化酶亚基2
BE0003901	晶状体纤维主要内在蛋白
BE0003902	菱形蛋白酶GlpG
BE0003903	推测的内向整流钾通道
BE0003904	精氨酸\/胍丁胺逆向转运蛋白
BE0001912	葡萄糖-1-磷酸胸苷酰基转移酶2
BE0001811	DNA初级酶\/螺旋酶
BE0004639	胸苷激酶2，线粒体
BE0001883	胸苷激酶
BE0001782	核糖核苷二磷酸还原酶2亚单位α
BE0001885	砷泵驱动ATP酶
BE0001600	胞苷酸激酶
BE0001816	Precorrin-8X甲基变位酶
BE0002023	趋化蛋白
BE0004533	Ras相关蛋白Rab-5A
BE0002746	阿米巴宁
BE0002747	氨基肽酶S
BE0001887	磷酸庚糖异构酶
BE0004475	cAMP依赖性蛋白激酶催化亚单位β
BE0001913	细胞周期蛋白依赖激酶7
BE0001652	苏氨酸磷酸脱羧酶
BE0002789	蛋白S100-A11
BE0002790	丝裂原活化蛋白激酶12
BE0000991	极光激酶A
BE0001241	ADP核糖环化酶2
BE0004564	N-酰基神经氨酸胞苷酰转移酶
BE0004112	L-苯丙氨酸脱氢酶
BE0003823	60S核糖体蛋白L10样
BE0003824	60S核糖体蛋白L13a
BE0003825	60S核糖体蛋白L23
BE0003826	60S核糖体蛋白L15
BE0003827	60S核糖体蛋白L19
BE0003828	60S核糖体蛋白L23a
BE0003829	可能的核糖体生物发生蛋白RLP24
BE0003830	60S核糖体蛋白L26样1
BE0003831	60S核糖体蛋白L8
BE0003832	60S核糖体蛋白L37
BE0003833	60S核糖体蛋白L3
BE0003834	60S核糖体蛋白L11
BE0003835	NHP2样蛋白1
BE0003753	羧肽酶A1
BE0001575	1-脱氧-D-木酮糖5-磷酸还原异构酶
BE0001871	N-琥珀酰精氨酸二氢酶
BE0003810	丝氨酸\/苏氨酸蛋白磷酸酶PP1α催化亚单位
BE0003750	丝氨酸\/苏氨酸蛋白磷酸酶2A 65 kDa调节亚单位Aα亚型
BE0003749	丝氨酸\/苏氨酸蛋白磷酸酶2A 56 kDa调节亚单位γ亚型
BE0003811	丝氨酸\/苏氨酸蛋白磷酸酶2A 55 kDa调节亚单位Bα亚型
BE0004143	香叶基转移酶（法尼基二磷酸合酶）
BE0001831	苯乙胺氧化酶
BE0004565	果糖二磷酸醛缩酶B
BE0001827	细胞分裂控制蛋白2同源物
BE0004037	异戊二烯基转移酶
BE0001894	丙酮酸二磷酸激酶
BE0001431	趋化蛋白CheA
BE0004497	cAMP依赖性蛋白激酶II型β调节亚单位
BE0002794	腺苷酸环化酶
BE0002795	环核苷酸门控钾通道mll3241
BE0002013	cAMP激活的全局转录调节因子CRP
BE0001667	神经氨酸酶
BE0003983	推测的脱氢酶\/还原酶SDR家族成员4-like 2
BE0004560	多泛素B
BE0002367	组蛋白脱乙酰酶3
BE0002368	组蛋白脱乙酰酶6
BE0002796	乙偶姻利用蛋白
BE0003278	甘露糖4,6脱水酶
BE0001669	dTDP-4-脱氢血红蛋白酶3,5-差向异构酶
BE0001748	双功能酶IspD\/IspF
BE0004106	2-C-甲基-D-赤藓糖醇2,4-环二磷酸合酶
BE0004093	（2Z，6E）-法尼基二磷酸合酶
BE0004107	癸烯基二磷酸合酶
BE0008984	凯尔血型糖蛋白
BE0004500	线粒体烯醇辅酶A水合酶
BE0004325	硫链球菌素
BE0004326	50S核糖体蛋白L11
BE0001902	酪氨酸蛋白激酶转化蛋白Abl
BE0004144	钙蛋白酶小亚单位1
BE0001643	谷氨酰胺酶天冬酰胺酶
BE0001771	甲基天冬氨酸变位酶S链
BE0004302	限制性内切酶R.BpuJI
BE0004303	八亚铁血红素还原酶
BE0004304	非特征蛋白质
BE0004305	传感器环二胍基磷酸二酯酶、GAF和含有GAF结构域的
BE0004306	假定的非特征蛋白质
BE0004307	2,3-二磷酸甘油酯依赖性磷酸甘油酯变位酶
BE0004308	腺苷酸琥珀酸合成酶
BE0004309	假想胞质蛋白
BE0004310	EDD结构域蛋白，DegV家族
BE0004311	非特征蛋白质
BE0003732	腺苷酸环化酶2型
BE0003731	鸟嘌呤核苷酸结合蛋白G（s）亚单位α亚型
BE0003733	腺苷酸环化酶5型
BE0001691	3-脱氢喹啉酸合酶
BE0001212	β-内酰胺酶II型
BE0002018	B类酸性磷酸酶
BE0002019	可溶性溶性murein转糖苷酶
BE0001578	膜结合溶性murein转糖苷酶B
BE0001832	烟酰胺单核苷酸腺苷酸转移酶3
BE0002805	NTPase P4
BE0002806	可能的木质素过氧化物酶LipJ
BE0002807	卡巴培南-3-羧酸合酶
BE0001892	依赖NADP的异丙醇脱氢酶
BE0001493	氯霉素3-O磷酸转移酶
BE0001581	4-羟基苏氨酸-4-磷酸脱氢酶
BE0004027	胰脂肪酶相关蛋白2
BE0003894	β-内酰胺酶
BE0002101	肌动蛋白，α骨骼肌
BE0002604	Iota毒素组分Ia
BE0004618	细胞分裂控制蛋白42同系物
BE0002810	甲酰蛋氨酸去甲酰化酶，推定
BE0001156	E3泛素蛋白连接酶XIAP
BE0001891	苹果酸脱氢酶
BE0000909	丝氨酸蝶呤还原酶
BE0001641	甲基丙二酰辅酶A羧基转移酶5S亚基
BE0002811	柠檬酸裂解酶亚单位β样蛋白
BE0001865	柠檬烯-1,2-环氧化物水解酶
BE0000302	β-内酰胺酶
BE0001571	Penton蛋白
BE0001686	N-乙酰氨基葡萄糖-6-磷酸脱乙酰酶
BE0001804	β-葡萄糖苷酶A
BE0001033	线粒体铁螯合酶
BE0001967	胃泌素
BE0003986	细胞色素c氧化酶亚基4亚型1，线粒体
BE0000335	细胞色素c氧化酶亚单位1
BE0003385	细胞色素c氧化酶亚基2
BE0003987	细胞色素c氧化酶亚基3
BE0003988	细胞色素c氧化酶5A亚单位，线粒体
BE0003989	细胞色素c氧化酶5B亚单位，线粒体
BE0003990	细胞色素c氧化酶亚基6C
BE0003991	细胞色素c氧化酶7B亚单位，线粒体
BE0003992	细胞色素c氧化酶亚单位7C，线粒体
BE0003993	细胞色素c氧化酶8A亚单位，线粒体
BE0003994	细胞色素c氧化酶亚单位6A2，线粒体
BE0003995	细胞色素c氧化酶亚基6B1
BE0003996	细胞色素c氧化酶亚单位7A1，线粒体
BE0003999	铁螯合酶
BE0005788	G蛋白偶联胆汁酸受体1
BE0003094	双功能3'-磷酸腺苷5'-磷酸硫酸盐合酶1
BE0001881	谷氨酰胺合成酶
BE0002812	5-甲基四氢叶酸——同型半胱氨酸S-甲基转移酶
BE0001604	传感器蛋白FixL
BE0001911	甘露聚糖内-1,4-β-甘露糖苷酶
BE0001890	氰卵蛋白-N
BE0001869	外毒素A
BE0001796	伸长系数G
BE0001800	氯霉素乙酰转移酶
BE0001542	氯霉素乙酰转移酶3
BE0000309	花生15脂氧合酶
BE0008985	磷脂酰肌醇4-激酶2-β型
BE0008988	整合素α-5
BE0000878	α-突触核蛋白
BE0002461	NAD依赖性蛋白脱乙酰酶sirtuin-1
BE0005467	C型凝集素结构域家族14成员A
BE0001057	溶质载体家族2，促进葡萄糖转运蛋白成员1
BE0009095	远上游元件结合蛋白2
BE0001590	甘氨酸氧化酶
BE0002818	纤维素1,4-β-纤维糖苷酶
BE0001873	霉环素合酶
BE0002819	α-葡萄糖醛酸酶
BE0001752	氨基葡萄糖-6-磷酸脱氨酶1
BE0001818	6-磷酸果糖激酶
BE0001877	磷酸丙糖异构酶
BE0004550	γ烯醇化酶
BE0001889	磷酸丙糖异构酶
BE0001596	2-脱氧葡萄糖-6-磷酸磷酸酶
BE0002256	琥珀酰辅酶A：3-酮酸辅酶A转移酶1，线粒体
BE0004060	多传感器信号转导组氨酸激酶
BE0002216	细胞周期蛋白依赖性激酶4
BE0002822	六磷酸二腺苷水解酶
BE0003777	β-2-微球蛋白
BE0003778	T细胞受体α链C区
BE0003779	T细胞受体β-1链C区
BE0003482	HLA I类组织相容性抗原A-2α链
BE0001789	甘露糖低聚糖α-1,2-甘露糖苷酶
BE0004434	U6 snRNA相关Sm样蛋白LSm6
BE0002061	核苷特异性通道形成蛋白tsx
BE0001914	富马酸水合酶II类
BE0004053	含蛋白质1的延伸因子Tu GTP结合域
BE0002377	3-巯基丙酮酸硫转移酶
BE0002823	L-半胱氨酸\/半胱氨酸裂解酶C-DES
BE0002824	3-巯基丙酮酸硫转移酶
BE0002825	羟胺还原酶
BE0004455	硫代硫酸盐硫转移酶
BE0002826	硫转移酶
BE0001760	硫代硫酸盐硫转移酶GlpE
BE0001799	羟胺还原酶
BE0001876	蛋白质ArsC
BE0000981	白细胞介素-12β亚单位
BE0002024	链痛
BE0004021	蛋白TonB
BE0002829	β-葡萄糖苷酶
BE0002718	β-内酰胺酶
BE0002831	β-内酰胺酶CTX-M
BE0002832	血红素加氧酶
BE0004442	tRNA剪接连接酶RtcB同源物
BE0002834	橙色类胡萝卜素结合蛋白
BE0002835	蔗糖孔蛋白
BE0002788	黎凡斯克拉斯酒店
BE0003814	ADP核糖基化因子1
BE0002837	水解酶
BE0001696	脂肪酶1
BE0001071	酪氨酸蛋白磷酸酶非受体11型
BE0002838	包膜糖蛋白gp160
BE0001769	脱水奎尼酸脱氢酶3
BE0001675	核糖磷酸焦磷酸激酶
BE0002022	磷酸结合蛋白
BE0001906	可能的5-甲酰四氢叶酸环连接酶
BE0001857	3-脱氢喹啉脱水酶
BE0001614	二氢叶酸还原酶
BE0001688	二酰甘油酰基转移酶\/霉酰基转移酶Ag85C
BE0001896	碱性磷酸酶
BE0002839	L-异苏氨酸醛缩酶
BE0001838	丝氨酸羟甲基转移酶
BE0000869	L-木酮糖还原酶
BE0001900	亚硫酸盐还原酶[NADPH]血蛋白β组分
BE0004461	磷酸葡萄糖变位酶-1
BE0001706	双功能（p）ppGpp合成酶\/水解酶RelA
BE0004141	D-氨基酸氧化酶
BE0001543	对羟基苯甲酸羟化酶
BE0001703	葡萄糖-1-磷酸酶
BE0001674	精胺合酶
BE0001897	酯酶
BE0002840	雌二醇17β脱氢酶11
BE0001679	3-α-（或20-β）-羟基类固醇脱氢酶
BE0003805	Igγ-2链C区
BE0002841	嘌呤核苷磷酸化酶
BE0001909	组织蛋白酶L2
BE0001895	47 kDa膜抗原
BE0002842	锌指Y染色体蛋白
BE0004473	尿苷5'-单磷酸合酶
BE0001677	奥罗替丁5'-磷酸脱羧酶
BE0001593	中二氨基吡啶D-脱氢酶
BE0002843	转录调节因子，HTH_3家族
BE0001903	GDP-L-岩藻糖合酶
BE0001908	磷酸乙酰转移酶
BE0004008	尿素酶亚单位α
BE0004009	尿素酶β亚单位
BE0004010	脲酶亚基γ
BE0003925	捕光蛋白B-800\/850α链
BE0003926	捕光蛋白B-800\/850β链
BE0004011	可能的rRNA甲基化酶
BE0002845	6-氧甲樟脑水解酶
BE0004075	蛋氨酸氨基肽酶2
BE0001764	烯醇辅酶Aδ异构酶1，线粒体
BE0001745	中链特异性酰基辅酶A脱氢酶，线粒体
BE0002846	丙酰辅酶A羧化酶复合物B亚基
BE0001672	联苯-2,3-二醇1,2-双加氧酶
BE0003955	1,2-二羟基萘双加氧酶
BE0004488	突触蛋白-1
BE0004571	[3-甲基-2-氧代丁酸脱氢酶[脂酰胺]]激酶，线粒体
BE0002851	错配修复核酸内切酶PMS2
BE0001269	蛋白质RecA
BE0001257	蛋白质RecA
BE0001235	蛋白质RecA
BE0001592	依赖ATP的DNA解旋酶RecQ
BE0002852	DNA聚合酶III亚单位tau
BE0001580	丝氨酸\/苏氨酸蛋白激酶PknB
BE0002850	Cag阿尔法
BE0001332	依赖NH（3）的NAD（+）合成酶
BE0001609	甘油激酶
BE0001815	早期内体抗原1
BE0001805	细胞色素c-552
BE0001650	N-乙酰神经氨酸裂解酶
BE0001828	腺苷酸琥珀酸合成酶
BE0002870	硫化物脱氢酶
BE0001830	色氨酸-tRNA连接酶2
BE0001875	鸟氨酸氨甲酰转移酶链I
BE0001886	半乳糖凝集素-10
BE0001655	调节蛋白BlaR1
BE0001879	羟乙基噻唑激酶
BE0003549	细胞色素P450 2B6
BE0001864	伸长系数Tu
BE0002871	LgtC
BE0001587	核酸酶P1
BE0001623	嘌呤核苷磷酸化酶
BE0004585	2'-5'-寡腺苷酸合酶1
BE0003945	鸟嘌呤核苷酸结合蛋白G（t）亚单位α-1
BE0002062	谷胱甘肽S-转移酶GstA
BE0001605	几丁质酶
BE0001723	3-氧酰基-[酰基载体蛋白]合酶3
BE0004017	基因组多蛋白
BE0004018	基因组多蛋白
BE0004019	肝细胞核因子4-α
BE0004020	极低密度脂蛋白受体
BE0001854	糖脂转移蛋白
BE0004022	IID组分泌型磷脂酶A2
BE0004023	酰基高丝氨酸内酯酰化酶
BE0001878	鼠李糖-1-磷酸醛缩酶
BE0002033	L-岩藻糖磷酸醛缩酶
BE0002054	D-塔格糖-1,6-二磷酸醛缩酶亚单位KbaY
BE0002021	果糖二磷酸醛缩酶2类
BE0001872	半乳糖基半乳糖基木糖基蛋白3-β-葡萄糖醛酸转移酶3
BE0001870	喹血蛋白乙醇脱氢酶1型
BE0001787	双功能蛋白PutA
BE0001840	补体因子D
BE0002938	短链特异性酰基辅酶A脱氢酶
BE0004329	甘氨酰肽N-十四烷酰转移酶1
BE0001647	（S） -2-卤代酸脱卤酶
BE0002035	胞苷脱氨酶
BE0001499	S-腺苷蛋氨酸合酶
BE0004186	霍乱肠毒素B亚单位
BE0003334	酪蛋白激酶I亚型γ-2
BE0001089	葡萄糖-6-磷酸1-脱氢酶
BE0004465	Ig lambda-1链C区
BE0002939	Ig lambda链V-II区域MGC
BE0004464	三叶因子2
BE0002913	细胞色素c2
BE0002940	内切-1,4-β-木聚糖酶
BE0002802	异化含铜亚硝酸盐还原酶
BE0004439	食欲素
BE0002941	C-C基序趋化因子8
BE0002942	细胞色素c'
BE0004793	胃蛋白酶-2
BE0002030	ATP合酶b亚单位
BE0001955	1-磷脂酰肌醇磷酸二酯酶
BE0000978	葡糖基神经酰胺酶
BE0002943	1-磷脂酰肌醇磷酸二酯酶
BE0002199	CDP二酰甘油——肌醇3-磷脂酰转移酶
BE0002944	核糖-5-磷酸异构酶B
BE0001649	几丁质酶A
BE0001058	壳三糖苷酶-1
BE0001595	甲基丙二酰辅酶A脱羧酶
BE0001586	激肽释放酶-6
BE0001624	胰蛋白酶
BE0001603	糖体磷酸丙糖异构酶
BE0003328	V-1蛋白酶
BE0002039	阿拉伯糖操纵子调节蛋白
BE0001678	L-阿拉伯糖结合周质蛋白
BE0001846	ATP合酶亚基c，钠离子特异性
BE0001720	UDP半乳吡喃糖变位酶
BE0001704	黄素血蛋白
BE0002364	NADPH——细胞色素P450还原酶
BE0001921	戊二酰辅酶A脱氢酶，线粒体
BE0001969	脱氧核糖嘧啶光解酶
BE0004566	L-氨基酸氧化酶
BE0001961	2,4-二烯丙基辅酶A还原酶[NADPH]
BE0001784	2-氧丙基-CoM还原酶，羧化
BE0001354	丙酮酸氧化酶
BE0002067	硫氧还蛋白还原酶
BE0002064	5,10-亚甲基四氢叶酸还原酶
BE0000397	异戊酰辅酶A脱氢酶，线粒体
BE0001230	胆固醇氧化酶
BE0002961	N、 N-二甲基甘氨酸氧化酶
BE0002597	NADH过氧化物酶
BE0002962	铁氧还蛋白——NADP还原酶
BE0002963	亚硫酸盐还原酶[NADPH]黄素蛋白α组分
BE0002964	铁氧还蛋白——NADP还原酶
BE0000965	凋亡诱导因子1，线粒体
BE0002596	铁氧还蛋白还原酶
BE0002965	二氢脂酰脱氢酶
BE0002966	胺氧化酶，含黄素的蛋白质
BE0002967	脱氧核糖嘧啶光解酶
BE0002968	脱氧核糖嘧啶光解酶
BE0002969	L-天冬氨酸氧化酶
BE0002970	隐色素破折号
BE0002881	延胡索酸还原酶黄素蛋白亚基
BE0004507	NADH细胞色素b5还原酶1
BE0002774	氧化还原酶
BE0004480	NADPH：肾上腺毒素氧化还原酶，线粒体
BE0004135	过氧化物酶体酰基辅酶A氧化酶1
BE0002971	UDP-N-乙酰烯醇丙酮酸葡萄糖胺还原酶
BE0004580	FAD连接的巯基氧化酶ALR
BE0002972	UDP-N-乙酰烯醇丙酮酸葡萄糖胺还原酶
BE0002917	黄素血蛋白
BE0002619	苯酚2-羟化酶组分B
BE0002973	亚甲基四氢叶酸还原酶
BE0002974	葡铁氧还蛋白还原酶
BE0002975	NAD（P）H脱氢酶（醌）
BE0002976	UDP半乳吡喃糖变位酶
BE0002977	4-羟基丁基辅酶A脱水酶\/乙烯乙酰辅酶Aδ异构酶
BE0002978	4-甲酚脱氢酶[羟基化]黄素蛋白亚单位
BE0002979	烷基过氧化氢还原酶F亚基
BE0002980	外膜蛋白p64k或PM-6
BE0002981	谷胱甘肽还原酶
BE0002982	苯丙酮单加氧酶
BE0002983	苯甲酸1,2-双加氧酶电子转移组分
BE0002984	推测的酰基辅酶A脱氢酶
BE0002985	FkbI
BE0002616	二氢脂酰脱氢酶
BE0002986	二氢脂酰脱氢酶
BE0002987	烷基过氧化氢还原酶F亚基
BE0002988	铁氧还蛋白——NADP还原酶
BE0002989	铁氧还蛋白——NADP还原酶
BE0002990	美沙西丁脱羧酶
BE0002991	蛋白UshA
BE0002992	氧化还原酶
BE0002993	氧化亚氮还原酶
BE0001665	DNA聚合酶I，耐热
BE0001682	水通道蛋白Z
BE0003883	光合反应中心复合体的H亚基
BE0003818	水通道蛋白Z
BE0003884	细胞色素b
BE0003885	泛醌细胞色素c还原酶铁硫亚基
BE0003886	细胞色素c1
BE0004437	II型肌醇1,4,5-三磷酸5-磷酸酶
BE0001794	8-氨基-7-氧酮酸合酶
BE0002627	dTDP葡萄糖4,6-脱水酶
BE0002995	DTDP-4-脱氢血红蛋白酶3,5-差向异构酶
BE0001719	色氨酸合成酶α链
BE0004065	色氨酸合成酶α链
BE0004066	色氨酸合成酶β链
BE0003136	磷酸乙酰醛水解酶
BE0002443	胞苷脱氨酶
BE0002302	甘氨酸裂解系统H蛋白，线粒体
BE0001766	胞内外α-（1->5）-L-阿拉伯呋喃糖苷酶
BE0001612	基因组多蛋白
BE0003372	基因组多蛋白
BE0004236	基因组多蛋白
BE0004148	基因组多蛋白
BE0004247	脊髓灰质炎病毒受体
BE0002909	喹血蛋白醇脱氢酶ADH IIB
BE0003016	吡咯喹啉醌合酶
BE0003017	醌蛋白乙醇脱氢酶
BE0001810	β-葡萄糖苷酶A
BE0002036	葡萄糖酸脱水酶
BE0003515	1-氨基环丙烷-1-羧酸合酶样蛋白1
BE0001684	腺苷高胱氨酸酶
BE0001853	乙醇脱氢酶
BE0001809	烟酰胺单核苷酸腺苷酸转移酶1
BE0002622	DNA连接酶
BE0001616	氧不敏感NAD（P）H硝基还原酶
BE0001833	脱乙酰氧基头孢菌素C合酶
BE0001866	D-2-羟基异丙酸脱氢酶
BE0001599	虫草蛋白
BE0003033	三甲胺脱氢酶
BE0003034	Rubredoxin氧氧化还原酶
BE0002551	核黄素生物合成蛋白RibF
BE0003035	吗啡酮还原酶
BE0002629	NADPH黄素氧化还原酶
BE0004614	核糖体蛋白S6激酶α-4
BE0003036	吩嗪生物合成蛋白PhzG
BE0004577	羟酸氧化酶2
BE0003037	NAD（P）H脱氢酶（醌）
BE0003038	黄多毒素-1
BE0003039	异戊烯基二磷酸δ异构酶
BE0003040	NADH脱氢酶
BE0003041	FMN结合蛋白
BE0003042	硝基还原酶家族蛋白
BE0003043	磷酸泛烯基半胱氨酸脱羧酶
BE0002996	PhzG
BE0002849	铁氧还蛋白依赖的谷氨酸合酶2
BE0002066	吡哆醇\/吡哆胺5'-磷酸氧化酶
BE0001807	黄多辛
BE0001922	脊索酸合酶
BE0003018	依赖FMN的NADH偶氮还原酶
BE0003019	表皮素脱羧酶
BE0002577	依赖FMN的NADH偶氮还原酶
BE0003020	脊索酸合酶
BE0003021	黄多辛
BE0002710	黄多辛
BE0003022	黄多辛
BE0003023	假定的非特征蛋白质
BE0003025	tRNA二氢尿苷合酶
BE0003026	蛋白质NrdI
BE0003027	可能的芳香酸脱羧酶
BE0003028	（S） -扁桃酸脱氢酶
BE0003029	依赖FMN的NADPH偶氮还原酶
BE0003030	黄多辛
BE0004105	丝氨酸\/苏氨酸蛋白激酶Sgk1
BE0003031	氧不敏感NAD（P）H硝基还原酶
BE0002576	一氧化氮还原酶
BE0003032	异戊烯基二磷酸δ异构酶
BE0001806	丙氨酸消旋酶，分解代谢
BE0001844	二氨基丙烯酸钠脱羧酶
BE0001753	丝氨酸羟甲基转移酶
BE0001692	氨基甲基转移酶
BE0001788	双功能多粘菌素抗性蛋白ArnA
BE0003044	假定的胍丁胺酶
BE0003045	脂肪酸代谢调节蛋白
BE0003046	麦芽糖结合蛋白
BE0001932	胸苷酸激酶
BE0001929	胸苷激酶
BE0002483	α-L-岩藻糖苷酶，推定
BE0003047	细胞外枯草杆菌素样丝氨酸蛋白酶
BE0003048	羧酸酯酶2
BE0004453	超氧化物歧化酶[Mn]，线粒体
BE0001038	糜酶
BE0003049	醛氧化还原酶
BE0003050	磷蛋白
BE0001802	亚硝酸盐还原酶
BE0004484	同源框蛋白工程-2
BE0001919	核糖核酸酶
BE0010006	谷胱甘肽S-转移酶（胞质）
BE0009350	DNA聚合酶
BE0009977	胸苷激酶
BE0001572	核糖核酸酶
BE0000999	肿瘤坏死因子配体超家族成员13B
BE0004452	Epsin-1
BE0001842	结构多蛋白
BE0004506	转化生长因子β-3
BE0002028	细胞色素c-552
BE0003051	细胞色素c-550
BE0003052	细胞色素c-552
BE0003053	细胞色素c-551
BE0003054	细胞色素c3
BE0003055	分裂细胞色素c
BE0002904	细胞色素c-553
BE0002793	细胞色素P450 2C9
BE0002872	九血红素细胞色素c
BE0003056	细胞色素c3，13kDa
BE0003057	细胞色素c551过氧化物酶
BE0002886	细胞色素c3
BE0003058	细胞色素c'
BE0002916	细胞色素c3
BE0001718	亚硝酸盐还原酶
BE0001749	高分子量细胞色素c
BE0001727	细胞色素c“
BE0001770	细胞色素c4
BE0002540	α-葡萄糖苷酶
BE0001639	麦芽糖化α-淀粉酶
BE0001606	β-Ala-Xaa二肽酶
BE0001930	神经氨酸酶
BE0004493	半乳糖凝集素-1
BE0003059	蛋白质ninB
BE0004637	多克隆蛋白SCMH1
BE0001931	外膜蛋白TolC
BE0001579	苏氨酸-tRNA连接酶
BE0001923	苏氨酸-tRNA连接酶
BE0002848	（5R）-碳青霉烯-3-羧酸合酶
BE0001986	4-羟基四氢二吡啶还原酶
