C0000742	阿贝尔森白血病病毒###ET###MSH [SEP] 阿贝尔森白血病病毒###PT###CSP [SEP] 阿贝尔森小鼠白血病病毒###EQ###NCBI [SEP] 阿贝尔森小鼠白血病病毒###ET###CSP [SEP] 阿贝尔森小鼠白血病病毒###MH###MSH [SEP] 阿贝尔森小鼠白血病病毒###PT###NCI [SEP] 阿贝尔森小鼠白血病病毒###SCN###NCBI [SEP] 阿贝尔森病毒###ET###CSP [SEP] 白血病病毒###PM###MSH [SEP] 阿贝尔森白血病病毒###PM###MSH
C3532923	丙型肝炎病毒基因型5（生物体）###FN###SNOMEDCT_US [SEP] 丙型肝炎病毒基因型5###PT###SNOMEDCT_US
C3532924	丙型肝炎病毒基因型6（生物体）###FN###SNOMEDCT_US [SEP] 丙型肝炎病毒基因型6###PT###SNOMEDCT_US
C3532925	丙型肝炎病毒1c亚型（机体）###FN###SNOMEDCT_US [SEP] 丙型肝炎病毒1c亚型###PT###SNOMEDCT_US
C3532926	丙型肝炎病毒2c亚型（生物体）###FN###SNOMEDCT_US [SEP] 丙型肝炎病毒2c亚型###PT###SNOMEDCT_US
C3532927	丙型肝炎病毒4b亚型（机体）###FN###SNOMEDCT_US [SEP] 丙型肝炎病毒4b亚型###PT###SNOMEDCT_US
C3532928	丙型肝炎病毒4c亚型（机体）###FN###SNOMEDCT_US [SEP] 丙型肝炎病毒4c亚型###PT###SNOMEDCT_US
C3532929	丙型肝炎病毒4d亚型（机体）###FN###SNOMEDCT_US [SEP] 丙型肝炎病毒4d亚型###PT###SNOMEDCT_US
C3533055	丁型肝炎病毒基因型###CN###LNC [SEP] 丁型肝炎病毒基因型###LPDN###LNC [SEP] 丁型肝炎病毒基因型###LPN###LNC
C3533056	巨细胞病毒糖蛋白基因型###CN###LNC [SEP] 巨细胞病毒糖蛋白基因型###LPDN###LNC [SEP] 巨细胞病毒糖蛋白基因型###LPN###LNC
C3533102	BK病毒亚型###CN###LNC [SEP] BK病毒亚型###LPDN###LNC [SEP] BK病毒亚型###LPN###LNC
C3537459	尾部结构###ET###GO [SEP] 病毒尾部结构###PN###MTH
C3556963	噬菌体phi-80###EQ###NCBI [SEP] 肠杆菌噬菌体卢拉###EQ###NCBI [SEP] 肠杆菌噬菌体Lula/phi80###EQ###NCBI [SEP] 肠杆菌噬菌体phi80（Lula）###EQ###NCBI [SEP] 肠杆菌噬菌体phi80###SCN###NCBI [SEP] 噬菌体phi-80###EQ###NCBI
C3556964	噬菌体phi-K###EQ###NCBI [SEP] 大肠杆菌噬菌体phiK###EQ###NCBI [SEP] 大肠杆菌病毒phiK###SCN###NCBI [SEP] 噬菌体phi-K###EQ###NCBI
C3556970	噬菌体186###EQ###NCBI [SEP] 大肠杆菌噬菌体186###EQ###NCBI [SEP] 肠杆菌噬菌体186###EQ###NCBI [SEP] 大肠杆菌病毒186###SCN###NCBI [SEP] 噬菌体186###EQ###NCBI
C3556975	别病毒IV亚群###EQ###NCBI [SEP] 噬菌体FI###EQ###NCBI [SEP] 肠杆菌噬菌体###EQ###NCBI [SEP] 肠杆菌噬菌体分离物###EQ###NCBI [SEP] 大肠杆菌病毒###SCN###NCBI [SEP] 噬菌体FI###EQ###NCBI [SEP] serumgroup IV###EQ###NCBI
C3556982	番茄卷曲叶###SCN###NCBI [SEP] 番茄曲叶爪哇病毒betasatellite###EQ###NCBI
C3556991	毛猴乙型肝炎病毒###SCN###NCBI
C3556995	爱知A病毒###EQ###NCBI [SEP] 爱知病毒A###SCN###NCBI
C3557006	噬菌体WPhi###EQ###NCBI [SEP] 肠杆菌噬菌体WPhi###EQ###NCBI [SEP] 肠杆菌噬菌体WPhi###EQ###NCBI [SEP] 肠噬菌体WPhi###EQ###NCBI [SEP] 大肠杆菌Wphi病毒###SCN###NCBI
C3557007	豆蔻花叶病毒###NM###MSH [SEP] 豆蔻花叶病毒###SCN###NCBI
C3557027	萨雷马汉坦病毒###SCN###NCBI [SEP] 萨雷马病毒###EQ###NCBI
C3557048	埃塔乳头瘤病毒1###SCN###NCBI [SEP] 弗林菌科乳头瘤病毒###EQ###NCBI
C3557051	杯状斑驳病毒###SCN###NCBI
C3557069	番茄黄化曲叶Axarquia病毒###SCN###NCBI
C3557082	番茄黄化曲叶病毒###SCN###NCBI
C3557109	李斯特菌噬菌体P100###EQ###NCBI [SEP] 李斯特菌噬菌体P100###EQ###NCBI [SEP] 李斯特病毒P100###SCN###NCBI
C3557113	卷叶菜牙买加病毒###SCN###NCBI [SEP] 卷心菜卷曲病毒牙买加分离物###EQ###NCBI
C3557130	微小单胞菌病毒SP1###SCN###NCBI
C3557135	噬菌体phi-MhaA1###EQ###NCBI [SEP] 噬菌体phi-MhaA1-PHL101###EQ###NCBI [SEP] Mannheimia噬菌体phiMHaA1###EQ###NCBI [SEP] Mannheimia噬菌体phiMhaA1-PHL101###EQ###NCBI [SEP] 曼海米亚病毒MhaA1-PHL101###EQ###NCBI [SEP] 曼海米亚病毒MhaA1-PHL101###EQ###NCBI [SEP] 曼海米亚病毒PHL101###SCN###NCBI
C3557146	路德维希亚黄脉越南病毒###SCN###NCBI
C3557155	大戟曲叶病毒###SCN###NCBI
C3557273	鸡星状病毒2###SCN###NCBI [SEP] 鸡星状病毒2型###EQ###NCBI
C3557418	番茄黄叶变形病毒###SCN###NCBI
C3557457	唇形纳病毒###SCN###NCBI
C3557787	暗纹果蝇西格玛病毒###EQ###NCBI [SEP] 暗纹果蝇乙状病毒###SCN###NCBI
C3557887	果蝇ananasae sigma病毒###EQ###NCBI [SEP] 果蝇ananassae sigmavirus###SCN###NCBI
C3557888	果蝇移殖病毒###EQ###NCBI [SEP] 果蝇移殖病毒###SCN###NCBI
C3557889	果蝇三体西格玛病毒###EQ###NCBI [SEP] 果蝇三体丝状瘤病毒###SCN###NCBI
C3557890	稳定家蝇西格玛病毒###EQ###NCBI [SEP] 稳定家蝇乙状瘤病毒###SCN###NCBI
C3558055	Betacoronavirus H.sav/J/Spain/2007###SCN###NCBI
C3558056	Betacoronavirus E.isa/M/Spain/2007###SCN###NCBI
C3558145	黑腹果蝇西格玛病毒###EQ###NCBI [SEP] 黑腹果蝇乙状瘤病毒###SCN###NCBI
C3558306	茉莉黄花叶病毒-[Jasminum sambac]###SCN###NCBI
C3558500	金缕梅乳头瘤病毒2###SCN###NCBI
C3558501	金缕梅乳头瘤病毒3###SCN###NCBI
C3558557	夏眠唇形虫圆环病毒###SCN###NCBI
C3558563	沙门氏菌噬菌体FSL SP-016###SCN###NCBI
C3558564	沙门氏菌噬菌体FSL SP-126###EQ###NCBI [SEP] 沙门氏菌病毒SP126###SCN###NCBI
C3558565	李斯特菌噬菌体LP-030-1###SCN###NCBI
C3558567	李斯特菌噬菌体LP-083###SCN###NCBI
C3558569	李斯特菌噬菌体LP-032###SCN###NCBI
C3558573	沙门氏菌噬菌体FSL SP-038###SCN###NCBI
C3558574	沙门氏菌噬菌体FSL SP-049###SCN###NCBI
C3558576	沙门氏菌噬菌体FSL SP-019###SCN###NCBI
C3558577	沙门氏菌噬菌体FSL SP-030###EQ###NCBI [SEP] 沙门氏菌噬菌体FSLSP030###EQ###NCBI [SEP] 沙门氏菌病毒FSLSP030###SCN###NCBI
C3558579	沙门氏菌噬菌体FSL SP-099###SCN###NCBI
C3558580	沙门氏菌噬菌体FSL SP-088###EQ###NCBI [SEP] 沙门氏菌噬菌体FSLSP088###EQ###NCBI [SEP] 沙门氏菌病毒FSLSP088###SCN###NCBI
C3558588	沙门氏菌噬菌体FSL SP-029###SCN###NCBI
C3558589	沙门氏菌噬菌体FSL SP-063###SCN###NCBI
C3558591	沙门氏菌噬菌体FSL SP-010###SCN###NCBI
C3558592	沙门氏菌噬菌体FSL SP-012###SCN###NCBI
C3558593	沙门氏菌噬菌体FSL SP-107###SCN###NCBI
C3558876	穆亚苏病毒###SCN###NCBI
C3558879	小麦矮缩印度病毒###SCN###NCBI
C3559590	红蓟叶卷曲###SCN###NCBI [SEP] 红蓟曲叶病毒###EQ###NCBI [SEP] 红蓟曲叶病毒DNAβ卫星###EQ###NCBI
C3559710	假单胞菌噬菌体PaMx31###SCN###NCBI
C3559711	假单胞菌噬菌体PaMx42###SCN###NCBI
C3559713	Gammapapillomavirus 6###SCN###NCBI
C3559714	Gammapapillomavirus 7###SCN###NCBI
C3559715	Gammapapillomavirus 8###SCN###NCBI
C3559716	Gammapapillomavirus 9###SCN###NCBI
C3559717	Gammapapillomavirus 10###SCN###NCBI
C3559718	Deltapapillomavirus 5###SCN###NCBI
C3559719	羊细小瘤病毒4###SCN###NCBI
C3559830	pipillomavirus 2###SCN###NCBI
C3559831	Rhopapillomavirus 1###SCN###NCBI
C3559832	Sigmapillomavirus 1###SCN###NCBI
C3559833	陶乳头瘤病毒1###SCN###NCBI
C3559834	Upsilonpapillomavirus 2###SCN###NCBI
C3559835	Upsilonpapillomavirus 1###SCN###NCBI
C3559838	番茄坏死矮化病毒###SCN###NCBI
C3559839	番茄卷曲叶###SCN###NCBI
C3560056	克罗克杆菌噬菌体P2559S###EQ###NCBI [SEP] Croceibacter噬菌体P2559S###SCN###NCBI
C3560057	马里诺单胞菌噬菌体P12026###SCN###NCBI
C3560059	分枝杆菌噬菌体###EQ###NCBI [SEP] 分枝杆菌噬菌体###SCN###NCBI
C3560098	AAstV/Guineafoll/ITA/2010/Bari ELVA###EQ###NCBI [SEP] 几内亚禽Avastrovirus/ITA/2010/Bari ELVA###SCN###NCBI
C3560101	犬杯状病毒###EQ###NCBI [SEP] 犬血管病毒###SCN###NCBI
C3560177	禽痘病毒FMA-2012###SCN###NCBI
C3560234	马驹乳头瘤病毒IV###SCN###NCBI [SEP] 马驹乳头瘤病毒JPOF-2012###EQ###NCBI
C3560785	美国啤酒花潜伏病毒###SCN###NCBI
C3560787	沙门氏菌噬菌体SSU5###SCN###NCBI
C3560837	Cordyline病毒2###SCN###NCBI
C3560838	科迪林病毒3###SCN###NCBI
C3560839	Cordyline病毒4###SCN###NCBI
C3560842	乳头状瘤病毒1###SCN###NCBI
C3560843	Chipapillomavirus 1###SCN###NCBI
C3560844	Chipapillomavirus 2###SCN###NCBI
C3560847	视乳头瘤病毒1###SCN###NCBI
C3560848	Omegapapillomavirus 1###NM###MSH [SEP] Omegapapillomavirus 1###SCN###NCBI
C3560849	Dyodeltapapillomavirus 1###SCN###NCBI
C3560850	Dyoepsilonpapillomavirus 1###SCN###NCBI
C3560851	Dyozetapapillomavirus 1###SCN###NCBI
C3560852	Dyoetapillomavirus 1###SCN###NCBI
C3563732	核盘菌dsRNA真菌病毒-L###SCN###NCBI
C3564297	西奈湖病毒3###SCN###NCBI
C3564581	玉米条纹重聚病毒###SCN###NCBI
C3564967	Salisaeta二十面体噬菌体1###SCN###NCBI
C3564968	柿子隐性病毒###SCN###NCBI
C3566073	蝙蝠sapovirus TLC72/HK###SCN###NCBI
C3566096	蝙蝠sapovirus TLC34/HK###SCN###NCBI
C3566097	蝙蝠sapovirus TLC38/HK###SCN###NCBI
C3566098	蝙蝠sapovirus TLC39/HK###SCN###NCBI
C3566099	蝙蝠sapovirus TLC58/HK###SCN###NCBI
C3566526	人星状病毒MLB2###SCN###NCBI
C3566574	沙门氏菌噬菌体SP-1###SCN###NCBI
C3566575	沙门氏菌噬菌体SP-3###SCN###NCBI
C3568162	产气荚膜梭菌噬菌体PhiS63###EQ###NCBI [SEP] 梭菌噬菌体###SCN###NCBI
C3568226	加利福尼亚海狮皮双星病毒###EQ###NCBI [SEP] 奥塔林短小核糖核酸病毒###SCN###NCBI
C3568257	人β-皮质瘤病毒###SCN###NCBI
C3568495	柠檬黄单胞菌噬菌体CP1###EQ###NCBI [SEP] 黄单胞菌噬菌体CP1###EQ###NCBI [SEP] 黄单胞菌病毒CP1###SCN###NCBI
C3568496	柠檬黄单胞菌噬菌体CP2###SCN###NCBI
C3568510	西达金花叶病毒###SCN###NCBI
C3568512	花叶病毒###SCN###NCBI
C3568682	瓦洛塔病毒###SCN###NCBI
C3568866	马赛病毒科蒙彼利埃###SCN###NCBI
C3568867	米病毒科###EQ###NCBI [SEP] 模仿病毒###SCN###NCBI
C3568868	马赛病毒罐头###EQ###NCBI [SEP] 马赛病毒罐头9###SCN###NCBI
C3568869	马赛病毒罐头###EQ###NCBI [SEP] 马赛病毒罐头###SCN###NCBI
C3568870	马赛病毒科###EQ###NCBI [SEP] 马赛病毒###SCN###NCBI
C3568871	米病毒科巴士###EQ###NCBI [SEP] 模拟病毒总线###SCN###NCBI
C3569612	弯曲杆菌噬菌体CP21###EQ###NCBI [SEP] 弯曲杆菌病毒CP21###SCN###NCBI
C3570009	乳状病毒AC-2012###SCN###NCBI
C3570126	未分类塞浦路斯病毒###SCN###NCBI
C3570805	双孢蘑菇球形病毒###SCN###NCBI
C3570806	香菇球形病毒###SCN###NCBI
C3570807	香菇螺旋病毒###SCN###NCBI
C3571291	鹅腺病毒A###EQ###NCBI [SEP] 鹅腺病毒A###SCN###NCBI
C3571588	Cosavirus AFP-2012###SCN###NCBI [SEP] Cosavirus-AFP-2012###EQ###NCBI
C3571589	Cosavirus IND/2010###SCN###NCBI [SEP] Cosavirus/IND/2010###EQ###NCBI
C3571685	甲型病毒JDD-2012###SCN###NCBI
C3571896	果蝠细小病毒###SCN###NCBI
C3571900	芽孢杆菌噬菌体BtCS33###SCN###NCBI
C3571901	尼泊尔分枝杆菌噬菌体###EQ###NCBI [SEP] 尼泊尔分枝杆菌病毒###SCN###NCBI
C3571966	犬圆环病毒###SCN###NCBI
C3572066	葡萄球菌噬菌体StauST398-1###SCN###NCBI
C3572067	分枝杆菌噬菌体ElTiger69###SCN###NCBI
C3572068	Macnchese分支杆菌噬菌体###EQ###NCBI [SEP] Macnchese噬菌体分枝杆菌###EQ###NCBI [SEP] Macncheese分枝杆菌病毒###SCN###NCBI
C3572069	葡萄球菌噬菌体StauST398-3###SCN###NCBI
C3572071	cenocepacia伯克霍尔德菌噬菌体BcepMigl###EQ###NCBI [SEP] 伯克霍尔德菌噬菌体BcepMigl###EQ###NCBI [SEP] 伯克霍尔德病毒###SCN###NCBI
C3572102	未分类无尾病毒###SCN###NCBI
C3572103	亚马逊百合轻度斑点病毒###SCN###NCBI
C3572106	蝙蝠betaherpesvirus B7D8###SCN###NCBI
C3572120	短小核糖核酸病毒猴/CHN-16/2002###SCN###NCBI
C3572121	短小核糖核酸病毒猴/CHN-17/2002###SCN###NCBI
C3572122	短小核糖核酸病毒猴/CHN-18/2002###SCN###NCBI
C3572123	短小核糖核酸病毒猴/CHN-19/2002###SCN###NCBI
C3572124	短小核糖核酸病毒猴/CHN-2/2002###SCN###NCBI
C3572125	短小核糖核酸病毒猴/CHN-20/2002###SCN###NCBI
C3572126	短小核糖核酸病毒猴/CHN-22/2002###SCN###NCBI
C3572127	短小核糖核酸病毒猴/CHN-25/2002###SCN###NCBI
C3572128	短小核糖核酸病毒猴/CHN-27/2002###SCN###NCBI
C3572129	短小核糖核酸病毒猴/CHN-28/2002###SCN###NCBI
C3572130	短小核糖核酸病毒猴/CHN-3/2002###SCN###NCBI
C3572131	短小核糖核酸病毒猴/CHN-33/2002###SCN###NCBI
C3572132	短小核糖核酸病毒猴/CHN-34/2002###SCN###NCBI
C3572133	短小核糖核酸病毒猴/CHN-36/2002###SCN###NCBI
C3572134	短小核糖核酸病毒猴/CHN-37/2002###SCN###NCBI
C3572135	短小核糖核酸病毒猴/CHN-38/2002###SCN###NCBI
C3572136	短小核糖核酸病毒猴/CHN-4/2002###SCN###NCBI
C3572137	短小核糖核酸病毒猴/CHN-41/2002###SCN###NCBI
C3572138	短小核糖核酸病毒猴/CHN-45/2002###SCN###NCBI
C3572139	短小核糖核酸病毒猴/CHN-46/2002###SCN###NCBI
C3572140	短小核糖核酸病毒猴/CHN-48/2002###SCN###NCBI
C3572142	短小核糖核酸病毒猴/CHN-5/2002###SCN###NCBI
C3572143	短小核糖核酸病毒猴/CHN-51/2002###SCN###NCBI
C3572144	短小核糖核酸病毒猴/CHN-53/2002###SCN###NCBI
C3572145	短小核糖核酸病毒猴/CHN-59/2002###SCN###NCBI
C3572146	短小核糖核酸病毒猴/CHN-60/2002###SCN###NCBI
C3572147	短小核糖核酸病毒猴/CHN-61/2002###SCN###NCBI
C3572148	短小核糖核酸病毒猴/CHN-62/2002###SCN###NCBI
C3572149	短小核糖核酸病毒猴/CHN-65/2002###SCN###NCBI
C3572150	短小核糖核酸病毒猴/CHN-66/2002###SCN###NCBI
C3572151	短小核糖核酸病毒猴/CHN-67/2002###SCN###NCBI
C3572152	短小核糖核酸病毒猴/CHN-70/2002###SCN###NCBI
C3572153	短小核糖核酸病毒猴/CHN-71/2002###SCN###NCBI
C3572154	短小核糖核酸病毒猴/CHN-72/2002###SCN###NCBI
C3572155	短小核糖核酸病毒猴/CHN-73/2002###SCN###NCBI
C3572156	短小核糖核酸病毒猴/CHN-74/2002###SCN###NCBI
C3572157	短小核糖核酸病毒猴/CHN-76/2002###SCN###NCBI
C3572158	短小核糖核酸病毒猴/CHN-78/2002###SCN###NCBI
C3572159	短小核糖核酸病毒猴/CHN-79/2003###SCN###NCBI
C3572160	短小核糖核酸病毒猴/CHN-8/2002###SCN###NCBI
C3572161	短小核糖核酸病毒猴/CHN-83/2003###SCN###NCBI
C3572192	小核糖核酸病毒1###SCN###NCBI
C3572193	schreibersii星状病毒1###SCN###NCBI
C3572194	施赖伯星状病毒11###SCN###NCBI
C3572195	schreibersii星状病毒12###SCN###NCBI [SEP] 小翼龙星状病毒###EQ###NCBI [SEP] 小翼龙星状病毒###EQ###NCBI
C3572196	schreibersii星状病毒13###SCN###NCBI
C3572197	schreibersii星状病毒2###SCN###NCBI
C3572198	施赖伯星状病毒3###SCN###NCBI
C3572199	schreibersii星状病毒4###SCN###NCBI
C3572200	schreibersii星状病毒5###SCN###NCBI
C3572201	schreibersii星状病毒6###SCN###NCBI
C3572202	施赖伯星状病毒7###SCN###NCBI
C3572203	施赖伯星状病毒8###SCN###NCBI
C3572204	schreibersii星状病毒9###SCN###NCBI
C3572274	仿射犀牛细小病毒1型###SCN###NCBI
C3572276	立克次体肌炎星状病毒1###SCN###NCBI
C3572277	中华犀牛星状病毒1###SCN###NCBI
C3572279	仿射犀牛泡沫病毒1###SCN###NCBI
C3572280	仿射犀牛瘟病毒1###SCN###NCBI
C3572282	铁皮犀牛疱疹病毒1型###SCN###NCBI
C3572283	罗布斯图拉星状病毒1###SCN###NCBI
C3572284	罗氏泰龙线虫疱疹病毒1###SCN###NCBI
C3572847	百喜草条纹花叶病毒###SCN###NCBI
C3572848	毛状指毛花叶病毒###SCN###NCBI
C3573209	马纳瓦图河病毒###SCN###NCBI
C3573210	波汉金纳河病毒###SCN###NCBI
C3573211	图里泰亚河病毒###SCN###NCBI
C3573218	Hp1likevirus###EQ###NCBI [SEP] HP1病毒###EQ###NCBI [SEP] Hpunalikevirus###EQ###NCBI [SEP] HPV###SCN###NCBI
C3574093	塞来贝克噬菌体P12053L###SCN###NCBI
C3574094	表皮葡萄球菌噬菌体vB_SepiS-Phipla5###EQ###NCBI [SEP] 葡萄球菌噬菌体Ipla5###EQ###NCBI [SEP] 葡萄球菌噬菌体vB_SepiS-Phipla5###EQ###NCBI [SEP] 葡萄球菌病毒IPLA5###SCN###NCBI
C3574095	表皮葡萄球菌噬菌体vB_SepiS-Phipla7###EQ###NCBI [SEP] 葡萄球菌噬菌体Ipla7###EQ###NCBI [SEP] 葡萄球菌噬菌体vB_SepiS-Phipla7###EQ###NCBI [SEP] 葡萄球菌病毒IPLA7###SCN###NCBI
C3574151	气单胞菌噬菌体Aes002###SCN###NCBI [SEP] salmonicida气单胞菌噬菌体Aes002###EQ###NCBI
C3574152	气单胞菌噬菌体Aes007###SCN###NCBI [SEP] 杀鲑气单胞菌噬菌体Aes007###EQ###NCBI
C3574153	气单胞菌噬菌体Aes120###SCN###NCBI [SEP] 杀鲑气单胞菌噬菌体Aes120###EQ###NCBI
C3574154	气单胞菌噬菌体Aes123###SCN###NCBI [SEP] 杀鲑气单胞菌噬菌体Aes123###EQ###NCBI
C3574155	气单胞菌噬菌体Aes144###SCN###NCBI [SEP] 杀鲑气单胞菌噬菌体Aes144###EQ###NCBI
C3574156	气单胞菌噬菌体Aes151###SCN###NCBI [SEP] 杀鲑气单胞菌噬菌体Aes151###EQ###NCBI
C3574157	气单胞菌噬菌体Aes509###SCN###NCBI [SEP] 杀鲑气单胞菌噬菌体Aes509###EQ###NCBI
C3574158	气单胞菌噬菌体Aes512###SCN###NCBI [SEP] 杀鲑气单胞菌噬菌体Aes512###EQ###NCBI
C3574159	气单胞菌噬菌体Aes517###SCN###NCBI [SEP] 杀鲑气单胞菌噬菌体Aes517###EQ###NCBI
C3574160	气单胞菌噬菌体Aes516###SCN###NCBI
C3574237	沙门氏菌噬菌体SPT-1###SCN###NCBI
C3574250	普雷姆纳曲叶病毒###SCN###NCBI
C3574252	特文维利奈###SCN###NCBI
C3574253	裂殖病毒###EQ###NCBI [SEP] 裂殖病毒###EQ###NCBI [SEP] 裂殖四驱病毒###SCN###NCBI
C3574254	Bcep781likevirus###EQ###NCBI [SEP] Bcep78likevirus###EQ###NCBI [SEP] BCEP78病毒###EQ###NCBI [SEP] 维他维病毒###SCN###NCBI
C3574255	布塞姆利病毒###EQ###NCBI [SEP] 卡介苗病毒###SCN###NCBI
C3574256	费利克韦病毒###EQ###NCBI [SEP] 费利克斯病毒###EQ###NCBI [SEP] 费利库纳利克索罗斯###EQ###NCBI [SEP] 费利克斯病毒###SCN###NCBI
C3574257	驴兰花病毒A###SCN###NCBI
C3574258	飞龙草隐匿病毒###SCN###NCBI
C3574259	卡拉德尼亚病毒A###SCN###NCBI
C3574321	甘薯曲叶病毒###SCN###NCBI
C3574458	雅克蒙蒂亚花叶病尤卡坦病毒###SCN###NCBI
C3574483	金银花黄脉花叶病毒###SCN###NCBI [SEP] 金银花黄脉花叶病毒###EQ###NCBI
C3574793	Hap1likevirus###EQ###NCBI [SEP] Hapunalikevirus###EQ###NCBI [SEP] 单倍体病毒###SCN###NCBI
C3574797	PB1likevirus###EQ###NCBI [SEP] Pbunalikevirus###EQ###NCBI [SEP] PBV病毒###SCN###NCBI
C3575044	维维特猴多瘤病毒###SCN###NCBI
C3576117	肌炎立克次体疱疹病毒1###SCN###NCBI
C3576118	肌炎立克次体疱疹病毒2###SCN###NCBI
C3576333	棉花曲叶病毒###SCN###NCBI
C3576381	乌卢古鲁病毒###SCN###NCBI
C3576382	乞力马扎罗病毒###SCN###NCBI
C3577229	柑橘褪绿矮化相关病毒###SCN###NCBI [SEP] 柑橘褪绿矮化相关病毒###EQ###NCBI
C3577590	孟加拉国人类杯状病毒/289/2007###EQ###NCBI [SEP] Recovirus孟加拉国/289/2007###SCN###NCBI
C3578136	气单胞菌噬菌体CC2###SCN###NCBI
C3578145	链霉菌噬菌体SV1###SCN###NCBI
C3578147	沙门氏菌噬菌体SBA-1781###SCN###NCBI
C3578153	梭菌噬菌体phiMMP02###SCN###NCBI
C3578154	梭状芽孢杆菌噬菌体phiMMP04###SCN###NCBI
C3578155	北方海狗多瘤病毒###SCN###NCBI
C3578156	新月形茎杆菌噬菌体phiCbK###EQ###NCBI [SEP] 茎杆菌噬菌体phiCbK###EQ###NCBI [SEP] 茎杆菌病毒###SCN###NCBI
C3578162	葡萄球菌噬菌体SA11###EQ###NCBI [SEP] 葡萄球菌病毒SA11###SCN###NCBI
C3578163	沙门氏菌噬菌体ST4###SCN###NCBI
C3578180	奥塔林腺病毒2###SCN###NCBI
C3578181	Phocine腺病毒1###SCN###NCBI
C3578182	Phocine腺病毒2###SCN###NCBI
C3578187	奥塔里样疱疹病毒3###SCN###NCBI
C3578188	疱疹病毒6###SCN###NCBI
C3578322	大豆静脉坏死相关病毒###SCN###NCBI
C3578605	乳杆菌噬菌体AQ113###EQ###NCBI [SEP] 瑞士乳杆菌噬菌体AQ113###EQ###NCBI [SEP] 乳杆菌噬菌体AQ113###EQ###NCBI [SEP] 乳酸杆菌噬菌体phiAQ113###SCN###NCBI
C3578641	噬菌体Hgal1###EQ###NCBI [SEP] 肠杆菌噬菌体Hgal1###SCN###NCBI
C3578653	肠杆菌噬菌体C-1 INW-2012###SCN###NCBI
C3578806	蓝莓病毒A###SCN###NCBI
C3579234	金皮病包括核型多角体病毒###SCN###NCBI [SEP] 金皮石斛###EQ###NCBI [SEP] 假多角体病毒包括单核多角体病毒###EQ###NCBI [SEP] 包括SNPV在内的假多雨###EQ###NCBI
C3579783	猪partetra病毒###SCN###NCBI
C3579804	鸭黄病毒安徽/2010###SCN###NCBI
C3579956	瑞士乳杆菌噬菌体f-AQ113###EQ###NCBI [SEP] 乳杆菌噬菌体f-AQ113###SCN###NCBI
C3580473	布法病毒-1###SCN###NCBI [SEP] 人布法病毒1###EQ###NCBI
C3580474	布法病毒-2###SCN###NCBI
C3580907	Phascolarctid疱疹病毒2###SCN###NCBI
C3581084	蒙塔斯特拉海绵体菌落相关病毒###SCN###NCBI
C3581151	埃斯卡莱肌炎betaherpesvirus###SCN###NCBI
C3581368	Arturo分支杆菌噬菌体###EQ###NCBI [SEP] Arturo分支杆菌噬菌体###EQ###NCBI [SEP] 阿图罗分枝杆菌病毒###SCN###NCBI
C3581369	分支杆菌噬菌体鹅###EQ###NCBI [SEP] 分枝杆菌噬菌体鹅###EQ###NCBI [SEP] 鹅分枝杆菌病毒###SCN###NCBI
C3581370	马塞尔分支杆菌噬菌体###EQ###NCBI [SEP] 马塞尔分枝杆菌噬菌体###EQ###NCBI [SEP] 马尔塞尔分枝杆菌病毒###SCN###NCBI
C3581439	嗜淀粉欧文氏菌噬菌体GR-2012###EQ###NCBI [SEP] Erwinia噬菌体GR-2012###SCN###NCBI
C3581440	苹果绿皱褶相关病毒###SCN###NCBI
C3581483	柿子双链RNA病毒###EQ###NCBI [SEP] 柿子潜伏病毒###SCN###NCBI
C3581484	柿子环状DNA病毒###SCN###NCBI
C3581586	新月形茎杆菌噬菌体###EQ###NCBI [SEP] 茎杆菌噬菌体###EQ###NCBI [SEP] 茎杆菌噬菌体业力###EQ###NCBI [SEP] 茎杆菌病毒业力###SCN###NCBI
C3581587	新月形茎杆菌噬菌体###EQ###NCBI [SEP] 茎杆菌噬菌体###EQ###NCBI [SEP] 茎杆菌噬菌体###EQ###NCBI [SEP] 茎杆菌病毒###SCN###NCBI
C3581588	新月形茎杆菌噬菌体###EQ###NCBI [SEP] 茎杆菌噬菌体###EQ###NCBI [SEP] 茎杆菌噬菌体流氓###EQ###NCBI [SEP] 茎杆菌病毒流氓###SCN###NCBI
C3581589	新月形茎杆菌噬菌体CcrSwift###EQ###NCBI [SEP] 茎杆菌噬菌体CcrSwift###EQ###NCBI [SEP] 茎杆菌噬菌体###EQ###NCBI [SEP] 茎杆菌病毒###SCN###NCBI
C3581667	字母加密病毒JF-2012###SCN###NCBI
C3582277	内波病毒Bo/M3641/2011/HUN###SCN###NCBI [SEP] 内波病毒株Bo/M3641/2011/HUN###EQ###NCBI
C3582290	里氏木霉部分病毒###SCN###NCBI
C3582748	烟草黄化病###SCN###NCBI
C3582758	利达蝙蝠利萨维鲁斯###SCN###NCBI
C3582877	无病毒###SCN###NCBI
C3582922	甘薯双子病毒###SCN###NCBI
C3583081	帕尔马病毒###SCN###NCBI
C3583362	番茄病毒###SCN###NCBI
C3583582	未分类曼陀罗病毒###SCN###NCBI
C3583583	柑橘黄脉清除病毒###SCN###NCBI
C3583837	红三叶草杆状病毒###SCN###NCBI
C3583846	回旋病毒4###SCN###NCBI
C3583847	2型脑心肌炎病毒###SCN###NCBI
C3584272	东方箱龟腺病毒###SCN###NCBI
C3584273	煎饼龟腺病毒###SCN###NCBI
