C0000005	['(131)I-MAA', '(131)I-Macroaggregated Albumin']
C1445288	['Carmine diagnostic allergen extract', 'Cochineal diagnostic allergen extract', 'Dactylopius coccus diagnostic allergen extract (product)', 'Dactylopius coccus diagnostic allergen extract']
C1445289	['Carrot diagnostic allergen extract', 'Daucus carota diagnostic allergen extract (product)', 'Daucus carota diagnostic allergen extract']
C1445290	['Diospyros kaki diagnostic allergen extract (product)', 'Diospyros kaki diagnostic allergen extract', 'Kaki fruit diagnostic allergen extract', 'Persimmon diagnostic allergen extract', 'Sharon fruit diagnostic allergen extract']
C1445291	['Echinochloa crus-galli diagnostic allergen extract (product)', 'Echinochloa crus-galli diagnostic allergen extract', 'Japanese millet diagnostic allergen extract']
C1445292	['Egg (yolk and white) diagnostic allergen extract (product)', 'Egg (yolk and white) diagnostic allergen extract']
C1445295	['Cardamon diagnostic allergen extract', 'Cardamum diagnostic allergen extract', 'Cardemon diagnostic allergen extract', 'Elettaria cardamomum diagnostic allergen extract (product)', 'Elettaria cardamomum diagnostic allergen extract', 'True cardamom diagnostic allergen extract']
C1445296	['Alces species meat diagnostic allergen extract (product)', 'Alces species meat diagnostic allergen extract', 'Elk/moose meat diagnostic allergen extract']
C1445297	['Anchovy diagnostic allergen extract', 'Engraulis encrasicolus diagnostic allergen extract (product)', 'Engraulis encrasicolus diagnostic allergen extract']
C1445299	['Ficus carica diagnostic allergen extract (product)', 'Ficus carica diagnostic allergen extract', 'Fig diagnostic allergen extract']
C1445300	['Fennel (fresh) diagnostic allergen extract', 'Fresh Foeniculum vulgare diagnostic allergen extract (product)', 'Fresh Foeniculum vulgare diagnostic allergen extract']
C1445301	['Fennel seed diagnostic allergen extract', 'Foeniculum vulgare (seed) diagnostic allergen extract (product)', 'Foeniculum vulgare (seed) diagnostic allergen extract']
C1445302	['Fragaria vesca diagnostic allergen extract (product)', 'Fragaria vesca diagnostic allergen extract', 'Strawberry diagnostic allergen extract']
C1445303	['Codfish diagnostic allergen extract', 'Gadus morhua diagnostic allergen extract (product)', 'Gadus morhua diagnostic allergen extract']
C1445305	['Gluten diagnostic allergen extract (product)', 'Gluten diagnostic allergen extract']
C1445306	['Glycine max diagnostic allergen extract (product)', 'Glycine max diagnostic allergen extract', 'Soy protein diagnostic allergen extract', 'Soya protein diagnostic allergen extract']
C1445307	['Goat milk diagnostic allergen extract (product)', 'Goat milk diagnostic allergen extract']
C1445308	['Helix aspersa diagnostic allergen extract (product)', 'Helix aspersa diagnostic allergen extract', 'Snail diagnostic allergen extract']
C1445309	['Halibut diagnostic allergen extract', 'Hippoglossus hippoglossus diagnostic allergen extract (product)', 'Hippoglossus hippoglossus diagnostic allergen extract']
C1445310	['Homarus gammarus diagnostic allergen extract (product)', 'Homarus gammarus diagnostic allergen extract', 'Lobster diagnostic allergen extract']
C1445312	['Barley diagnostic allergen extract', 'Hordeum vulgare diagnostic allergen extract (product)', 'Hordeum vulgare diagnostic allergen extract']
C1445313	['Horse meat diagnostic allergen extract (product)', 'Horse meat diagnostic allergen extract']
C1445314	['Hop diagnostic allergen extract', 'Humulus lupus diagnostic allergen extract (product)', 'Humulus lupus diagnostic allergen extract']
C1445315	['Ipomea batatas diagnostic allergen extract (product)', 'Ipomea batatas diagnostic allergen extract', 'Sweet potato diagnostic allergen extract']
C1445316	['Juglans species diagnostic allergen extract (product)', 'Juglans species diagnostic allergen extract', 'Walnut diagnostic allergen extract']
C1445318	['Blue vetch diagnostic allergen extract', 'Chickling pea diagnostic allergen extract', 'Chickling vetch diagnostic allergen extract', 'grass pea allergenic extract', 'Grasspea diagnostic allergen extract', 'Lathyrus sativus diagnostic allergen extract (product)', 'Lathyrus sativus diagnostic allergen extract']
C1445319	['Bay leaf diagnostic allergen extract', 'Laurus nobilis diagnostic allergen extract (product)', 'Laurus nobilis diagnostic allergen extract']
C1445320	['Lens esculenta diagnostic allergen extract (product)', 'Lens esculenta diagnostic allergen extract', 'Lentil diagnostic allergen extract']
C1445321	['Lepidorhombus whiffiagonis diagnostic allergen extract (product)', 'Lepidorhombus whiffiagonis diagnostic allergen extract', 'Megrim diagnostic allergen extract', 'Whiff diagnostic allergen extract', 'White sole diagnostic allergen extract']
C1445322	['Levisticum officinale diagnostic allergen extract (product)', 'Levisticum officinale diagnostic allergen extract', 'Lovage diagnostic allergen extract']
C1445323	['Flaxseed diagnostic allergen extract', 'Linseed diagnostic allergen extract', 'Linum usitatissimum diagnostic allergen extract (product)', 'Linum usitatissimum diagnostic allergen extract']
C1445324	['Loligo species diagnostic allergen extract (product)', 'Loligo species diagnostic allergen extract', 'Squid diagnostic allergen extract']
C1445326	['Lycopersicon lycopersicum diagnostic allergen extract (product)', 'Lycopersicon lycopersicum diagnostic allergen extract', 'Tomato diagnostic allergen extract']
C1445327	['Macadamia nut diagnostic allergen extract (product)', 'Macadamia nut diagnostic allergen extract']
C1445328	['Apple diagnostic allergen extract', 'Malus sylvestris diagnostic allergen extract (product)', 'Malus sylvestris diagnostic allergen extract']
C1445330	["Mare's milk diagnostic allergen extract (product)", "Mare's milk diagnostic allergen extract", "Mare's milk protein diagnostic allergen extract"]
C1445331	['Haddock diagnostic allergen extract', 'Melanogrammus aeglefinus diagnostic allergen extract (product)', 'Melanogrammus aeglefinus diagnostic allergen extract']
C1445332	['Meleagris gallopavo diagnostic allergen extract (product)', 'Meleagris gallopavo diagnostic allergen extract', 'Turkey - meat diagnostic allergen extract']
C1445333	['Mentha piperita allergenic extract', 'Mentha piperita diagnostic allergen extract (product)', 'Mentha piperita diagnostic allergen extract', 'Mint diagnostic allergen extract']
C1445334	['Hake diagnostic allergen extract', 'Merluccius merluccius diagnostic allergen extract (product)', 'Merluccius merluccius diagnostic allergen extract']
C1445335	["Cow's milk protein diagnostic allergen extract (product)", "Cow's milk protein diagnostic allergen extract", 'Milk diagnostic allergen extract']
C1445336	["Boiled cow's milk diagnostic allergen extract (product)", "Boiled cow's milk diagnostic allergen extract", 'Milk, boiled specific diagnostic allergen extract']
C1445337	['Milk powder specific diagnostic allergen extract (product)', 'Milk powder specific diagnostic allergen extract']
C1445338	['Myristica fragrans (seed kernel) diagnostic allergen extract (product)', 'Myristica fragrans (seed kernel) diagnostic allergen extract', 'Nutmeg diagnostic allergen extract', 'nutmeg seed kernel extract']
C1445340	['Blue mussel diagnostic allergen extract', 'Mytilus edulis diagnostic allergen extract (product)', 'Mytilus edulis diagnostic allergen extract']
C1445341	['Basil diagnostic allergen extract', 'Ocimum basilicum diagnostic allergen extract (product)', 'Ocimum basilicum diagnostic allergen extract']
C1445342	['Octopus diagnostic allergen extract', 'Octopus vulgaris diagnostic allergen extract (product)', 'Octopus vulgaris diagnostic allergen extract']
C1445343	['Oncorhynchus mykiss diagnostic allergen extract (product)', 'Oncorhynchus mykiss diagnostic allergen extract', 'Trout diagnostic allergen extract']
C1445345	['Oregano diagnostic allergen extract', 'Origanum vulgare diagnostic allergen extract (product)', 'Origanum vulgare diagnostic allergen extract']
C1445346	['Oryctolagus species diagnostic allergen extract (product)', 'Oryctolagus species diagnostic allergen extract', 'Rabbit meat diagnostic allergen extract']
C1445347	['Oryza sativa diagnostic allergen extract (product)', 'Oryza sativa diagnostic allergen extract', 'Rice diagnostic allergen extract']
C1445348	['Ostrea edulis diagnostic allergen extract (product)', 'Ostrea edulis diagnostic allergen extract', 'Oyster diagnostic allergen extract']
C1445349	['Ovalbumin diagnostic allergen extract (product)', 'Ovalbumin diagnostic allergen extract']
C1445350	['Mutton diagnostic allergen extract', 'Ovis species diagnostic allergen extract (product)', 'Ovis species diagnostic allergen extract']
C1445351	['Ovomucoid diagnostic allergen extract (product)', 'Ovomucoid diagnostic allergen extract']
C1445352	['Langust diagnostic allergen extract', 'Palinurus species diagnostic allergen extract (product)', 'Palinurus species diagnostic allergen extract', 'Spiny lobster diagnostic allergen extract']
C1445353	['Pandalus borealis diagnostic allergen extract (product)', 'Pandalus borealis diagnostic allergen extract', 'Shrimp diagnostic allergen extract']
C1445354	['Common millet diagnostic allergen extract', 'Panicum milliaceum diagnostic allergen extract (product)', 'Panicum milliaceum diagnostic allergen extract']
C1445355	['Papaver somniferum diagnostic allergen extract (product)', 'Papaver somniferum diagnostic allergen extract', 'Poppy seed diagnostic allergen extract']
C1445356	['Passiflora edulis diagnostic allergen extract (product)', 'Passiflora edulis diagnostic allergen extract', 'Passion fruit diagnostic allergen extract']
C1445357	['Pecten species diagnostic allergen extract (product)', 'Pecten species diagnostic allergen extract', 'Scallop diagnostic allergen extract']
C1445358	['Avocado diagnostic allergen extract', 'Persea americana diagnostic allergen extract (product)', 'Persea americana diagnostic allergen extract']
C1445359	['Parsley diagnostic allergen extract', 'Petrosilenum crispum diagnostic allergen extract (product)', 'Petrosilenum crispum diagnostic allergen extract']
C1445360	['Green bean diagnostic allergen extract', 'Phaseolus vulgaris (green) diagnostic allergen extract (product)', 'Phaseolus vulgaris (green) diagnostic allergen extract']
C1445361	['Phaseolus vulgaris (red) diagnostic allergen extract (product)', 'Phaseolus vulgaris (red) diagnostic allergen extract', 'Red kidney bean diagnostic allergen extract']
C1445363	['Date diagnostic allergen extract', 'Phoenix dactylifera diagnostic allergen extract (product)', 'Phoenix dactylifera diagnostic allergen extract']
C1445364	['Bamboo shoot diagnostic allergen extract', 'Phyllostachys pubescens diagnostic allergen extract (product)', 'Phyllostachys pubescens diagnostic allergen extract']
C1445365	['Allspice diagnostic allergen extract', 'Pimenta dioica diagnostic allergen extract (product)', 'Pimenta dioica diagnostic allergen extract']
C1445366	['Anise seed diagnostic allergen extract', 'Pimpinella anisum allergenic extract', 'Pimpinella anisum diagnostic allergen extract (product)', 'Pimpinella anisum diagnostic allergen extract']
C1445367	['Pignole diagnostic allergen extract', 'Pignoles diagnostic allergen extract', 'Pine nut diagnostic allergen extract', 'Pinus edulis diagnostic allergen extract (product)', 'Pinus edulis diagnostic allergen extract']
C1445368	['green pepper extract', 'Green peppercorn diagnostic allergen extract', 'Piper nigrum (unripe seed) diagnostic allergen extract (product)', 'Piper nigrum (unripe seed) diagnostic allergen extract']
C1445369	['Pistachio nut diagnostic allergen extract', 'Pistacia vera diagnostic allergen extract (product)', 'Pistacia vera diagnostic allergen extract']
C1445370	['Plaice diagnostic allergen extract', 'Pleuronectes platessa diagnostic allergen extract (product)', 'Pleuronectes platessa diagnostic allergen extract']
C1445371	['Apricot diagnostic allergen extract', 'Prunus armeniaca diagnostic allergen extract (product)', 'Prunus armeniaca diagnostic allergen extract']
C1445372	['Cherry diagnostic allergen extract', 'Prunus avium diagnostic allergen extract (product)', 'Prunus avium diagnostic allergen extract']
C1445373	['Plum diagnostic allergen extract', 'Prunus domestica diagnostic allergen extract (product)', 'Prunus domestica diagnostic allergen extract']
C1445374	['Peach diagnostic allergen extract', 'Prunus persica diagnostic allergen extract (product)', 'Prunus persica diagnostic allergen extract']
C1445376	['Pear diagnostic allergen extract', 'Pyrus communis diagnostic allergen extract (product)', 'Pyrus communis diagnostic allergen extract']
C1445377	['Red currant diagnostic allergen extract', 'Ribes sylvestre diagnostic allergen extract (product)', 'Ribes sylvestre diagnostic allergen extract']
C1445378	['Rosa species hip diagnostic allergen extract (product)', 'Rosa species hip diagnostic allergen extract', 'Rose hip diagnostic allergen extract', 'rose hips extract']
C1445379	['Blackberry diagnostic allergen extract', 'Rubus fruticosus diagnostic allergen extract (product)', 'Rubus fruticosus diagnostic allergen extract']
C1445381	['Agrostis stolonifera diagnostic allergen extract (product)', 'Agrostis stolonifera diagnostic allergen extract', 'Bent grass diagnostic allergen extract', 'Redtop diagnostic allergen extract']
C1445382	['Alopercurus pratensis diagnostic allergen extract (product)', 'Alopercurus pratensis diagnostic allergen extract', 'Meadow foxtail diagnostic allergen extract']
C1445384	['Arrhenatherum elatius diagnostic allergen extract (product)', 'Arrhenatherum elatius diagnostic allergen extract', 'False oat grass diagnostic allergen extract', 'Onion couch diagnostic allergen extract', 'Tall oat grass diagnostic allergen extract']
C1445385	['Avena sativa pollen diagnostic allergen extract (product)', 'Avena sativa pollen diagnostic allergen extract', 'Cultivated oat diagnostic allergen extract']
C1445386	['Brome grass diagnostic allergen extract', 'Bromus inermis diagnostic allergen extract (product)', 'Bromus inermis diagnostic allergen extract']
C1445388	['Cocksfoot diagnostic allergen extract', 'Dactylis glomerata diagnostic allergen extract (product)', 'Dactylis glomerata diagnostic allergen extract', 'Orchard grass diagnostic allergen extract']
C1445389	['Distichlis spicata diagnostic allergen extract (product)', 'Distichlis spicata diagnostic allergen extract', 'Salt grass diagnostic allergen extract']
C1445390	['Elymus triticoides diagnostic allergen extract (product)', 'Elymus triticoides diagnostic allergen extract', 'Wild rye grass diagnostic allergen extract']
C1445391	['Festuca elatior diagnostic allergen extract (product)', 'Festuca elatior diagnostic allergen extract', 'Meadow fescue diagnostic allergen extract']
C1445392	['Holcus lanatus diagnostic allergen extract (product)', 'Holcus lanatus diagnostic allergen extract', 'Velvet grass diagnostic allergen extract']
C1445393	['Barley pollen diagnostic allergen extract', 'Hordeum vulgare pollen diagnostic allergen extract (product)', 'Hordeum vulgare pollen diagnostic allergen extract']
C1445394	['Lolium perenne diagnostic allergen extract (product)', 'Lolium perenne diagnostic allergen extract', 'Rye grass diagnostic allergen extract']
C1445395	['Bahia grass diagnostic allergen extract', 'Paspalum notatum diagnostic allergen extract (product)', 'Paspalum notatum diagnostic allergen extract']
C1445397	['Phleum pratense diagnostic allergen extract (product)', 'Phleum pratense diagnostic allergen extract', 'Timothy grass diagnostic allergen extract']
C1445398	['Common reed diagnostic allergen extract', 'Phragmites communis diagnostic allergen extract (product)', 'Phragmites communis diagnostic allergen extract']
C1445399	['Kentucky blue grass diagnostic allergen extract', 'Poa pratensis diagnostic allergen extract (product)', 'Poa pratensis diagnostic allergen extract']
C1445401	['Johnson grass diagnostic allergen extract', 'Sorghum halepense diagnostic allergen extract (product)', 'Sorghum halepense diagnostic allergen extract']
C1445402	['Cultivated wheat diagnostic allergen extract', 'Triticum sativum diagnostic allergen extract (product)', 'Triticum sativum diagnostic allergen extract']
C1445404	['House dust (Greer Labs) diagnostic allergen extract (product)', 'House dust (Greer Labs) diagnostic allergen extract', 'House dust (Greer Labs) extract']
C1445405	['House dust (Hollister-Stier Labs) diagnostic allergen extract (product)', 'House dust (Hollister-Stier Labs) diagnostic allergen extract', 'House dust (Hollister-Stier Labs) extract']
C1445406	['Aedes communis diagnostic allergen extract (product)', 'Aedes communis diagnostic allergen extract', 'Mosquito diagnostic allergen extract']
C1445408	['Blatta orientalis diagnostic allergen extract (product)', 'Blatta orientalis diagnostic allergen extract', 'Oriental cockroach diagnostic allergen extract']
C1445409	['Bombus terrestris diagnostic allergen extract (product)', 'Bombus terrestris diagnostic allergen extract', 'Bumble bee venom diagnostic allergen extract']
C1445410	['Bombyx mori diagnostic allergen extract (product)', 'Bombyx mori diagnostic allergen extract', 'Bombyx mori specific diagnostic allergen extract', 'Moth diagnostic allergen extract']
C1445411	['Blood worm diagnostic allergen extract', 'Chironomus thummi diagnostic allergen extract (product)', 'Chironomus thummi diagnostic allergen extract']
C1445412	['Cladotanytarsus lewisi diagnostic allergen extract (product)', 'Cladotanytarsus lewisi diagnostic allergen extract', 'Green nimitti diagnostic allergen extract']
C1445413	['Anagasta kuehniella diagnostic allergen extract', 'Ephestia kuehniella diagnostic allergen extract (product)', 'Ephestia kuehniella diagnostic allergen extract', 'Mediterranean flour moth diagnostic allergen extract']
C1445414	['Gasterophilus intestinalis diagnostic allergen extract (product)', 'Gasterophilus intestinalis diagnostic allergen extract', 'Horse bot fly diagnostic allergen extract']
C1445415	['American cockroach diagnostic allergen extract', 'Periplaneta americana diagnostic allergen extract (product)', 'Periplaneta americana diagnostic allergen extract']
C1445416	['Grain weevil diagnostic allergen extract', 'Sitophilus granarius diagnostic allergen extract (product)', 'Sitophilus granarius diagnostic allergen extract']
C1445418	['Horse fly diagnostic allergen extract', 'Horsefly specific diagnostic allergen extract', 'Tabanus species diagnostic allergen extract (product)', 'Tabanus species diagnostic allergen extract']
C1445419	['Berlin beetle diagnostic allergen extract', 'Trogoderma angustum (Solier) diagnostic allergen extract', 'Trogoderma angustum diagnostic allergen extract (product)', 'Trogoderma angustum diagnostic allergen extract']
C1445423	['Aureobasidium pullulans diagnostic allergen extract (product)', 'Aureobasidium pullulans diagnostic allergen extract', 'Aureobasidium pullulans extract']
C1445425	['Acremonium chrysogenum diagnostic allergen extract (product)', 'Acremonium chrysogenum diagnostic allergen extract', 'Acremonium chrysogenum extract', 'Cephalosporium acremonium extract']
C1445428	['Curvularia lunata diagnostic allergen extract (product)', 'Curvularia lunata diagnostic allergen extract', 'Curvularia lunata extract']
C1445429	['Epicoccum purpurascens diagnostic allergen extract (product)', 'Epicoccum purpurascens diagnostic allergen extract', 'Epicoccum purpurascens extract']
C1445430	['Fusarium moniliforme diagnostic allergen extract (product)', 'Fusarium moniliforme diagnostic allergen extract', 'Fusarium moniliforme extract']
C1445431	['Helminthosporium halodes diagnostic allergen extract (product)', 'Helminthosporium halodes diagnostic allergen extract', 'Helminthosporium halodes extract']
C1445433	['Penicillium frequentans diagnostic allergen extract (product)', 'Penicillium frequentans diagnostic allergen extract', 'Penicillium frequentans extract']
C1445434	['Penicillium chrysogenum diagnostic allergen extract (product)', 'Penicillium chrysogenum diagnostic allergen extract', 'Penicillium notatum diagnostic allergen extract', 'Penicillium notatum extract']
C1445435	['Phoma betae diagnostic allergen extract (product)', 'Phoma betae diagnostic allergen extract', 'Phoma betae extract']
C1445436	['Pityrosporum orbiculare diagnostic allergen extract (product)', 'Pityrosporum orbiculare diagnostic allergen extract', 'Pityrosporum orbiculare extract']
C1445437	['Rhizopus nigricans diagnostic allergen extract (product)', 'Rhizopus nigricans diagnostic allergen extract', 'Rhizopus nigricans extract']
C1445438	['Stemphylium botryosum diagnostic allergen extract (product)', 'Stemphylium botryosum diagnostic allergen extract', 'Stemphylium botryosum extract']
C1445440	['Trichophyton ment. var. goetzii extract', 'Trichophyton mentagrophytes var. goetzii diagnostic allergen extract', 'Trichophyton mentagrophytes variant goetzii diagnostic allergen extract (product)', 'Trichophyton mentagrophytes variant goetzii diagnostic allergen extract']
C1445441	['Trichophyton ment. var. interdigitale extract', 'Trichophyton mentagrophytes var. interdigitale diagnostic allergen extract', 'Trichophyton mentagrophytes variant interdigitale diagnostic allergen extract (product)', 'Trichophyton mentagrophytes variant interdigitale diagnostic allergen extract']
C1445443	['Trichosporon pullulans diagnostic allergen extract (product)', 'Trichosporon pullulans diagnostic allergen extract', 'Trichosporon pullulans extract']
C1445444	['Ulocladium chartarum diagnostic allergen extract (product)', 'Ulocladium chartarum diagnostic allergen extract', 'Ulocladium chartarum extract']
C1445447	['Acarus siro diagnostic allergen extract (product)', 'Acarus siro diagnostic allergen extract', 'Acarus siro extract', 'Flour mite extract']
C1445448	['Blomia tropicalis diagnostic allergen extract (product)', 'Blomia tropicalis diagnostic allergen extract', 'Blomia tropicalis diagnostic allergen extract', 'Blomia tropicalis extract']
C1445449	['American house dust mite extract', 'Dermatophagoides farinae diagnostic allergen extract (product)', 'Dermatophagoides farinae diagnostic allergen extract', 'Dermatophagoides farinae diagnostic allergen extract', 'Dermatophagoides farinae extract']
C1445450	['Dermatophagoides microceras diagnostic allergen extract (product)', 'Dermatophagoides microceras diagnostic allergen extract', 'Dermatophagoides microceras diagnostic allergen extract', 'Dermatophagoides microceras extract']
C1445451	['Dermatophagoides pteronyssinus diagnostic allergen extract (product)', 'Dermatophagoides pteronyssinus diagnostic allergen extract', 'Dermatophagoides pteronyssinus diagnostic allergen extract', 'Dermatophagoides pteronyssinus extract', 'European house dust mite diagnostic allergen extract']
C1445452	['Euroglyphus maynei diagnostic allergen extract (product)', 'Euroglyphus maynei diagnostic allergen extract', 'Euroglyphus maynei diagnostic allergen extract', "Mayne's house dust mite diagnostic allergen extract"]
C1445453	['Glycyphagus domesticus diagnostic allergen extract (product)', 'Glycyphagus domesticus diagnostic allergen extract', 'Glycyphagus domesticus diagnostic allergen extract', 'Glycyphagus domesticus extract']
C1445454	['Lepidoglyphus destructor diagnostic allergen extract (product)', 'Lepidoglyphus destructor diagnostic allergen extract', 'Lepidoglyphus destructor diagnostic allergen extract', 'Lepidoglyphus destructor extract', 'Storage mite extract']
C1445455	['Mold mite extract', 'Tyrophagus putrescentiae diagnostic allergen extract (product)', 'Tyrophagus putrescentiae diagnostic allergen extract', 'Tyrophagus putrescentiae extract']
C1445458	['Bougainvillea species specific diagnostic allergen extract (product)', 'Bougainvillea species specific diagnostic allergen extract', 'Bougainvillea specific extract', 'Bougainvillea spp. specific extract']
C1445460	['Castor bean specific diagnostic allergen extract (product)', 'Castor bean specific diagnostic allergen extract', 'Castor bean specific extract']
C1445462	['Cotton seed specific diagnostic allergen extract (product)', 'Cotton seed specific diagnostic allergen extract', 'Cotton seed specific extract']
C1445464	['Ficus species specific diagnostic allergen extract (product)', 'Ficus species specific diagnostic allergen extract', 'Ficus spp. specific extract']
C1445466	['Green coffee bean specific diagnostic allergen extract (product)', 'Green coffee bean specific diagnostic allergen extract', 'Green coffee bean specific extract']
C1445467	['Hevea brasiliensis specific diagnostic allergen extract (product)', 'Hevea brasiliensis specific diagnostic allergen extract', 'Latex specific diagnostic allergen extract', 'Latex specific extract']
C1445483	['Silk waste specific diagnostic allergen extract (product)', 'Silk waste specific diagnostic allergen extract', 'Silk waste specific extract', 'Silkwaste specific extract']
C1445484	['Helianthus annuus seed specific extract', 'Sunflower seed specific diagnostic allergen extract (product)', 'Sunflower seed specific diagnostic allergen extract', 'Sunflower seed specific extract']
C1445486	['Wood dust specific diagnostic allergen extract (product)', 'Wood dust specific diagnostic allergen extract', 'Wood dust specific extract']
C1445487	['Abachi wood dust specific diagnostic allergen extract', 'Abachi wood dust specific extract', 'Triplochiton scleroxylon specific diagnostic allergen extract (product)', 'Triplochiton scleroxylon specific diagnostic allergen extract']
C1445488	['Artemia salina, fish feed specific diagnostic allergen extract (product)', 'Artemia salina, fish feed specific diagnostic allergen extract', 'Artemisia salina specific diagnostic allergen extract', 'Brine shrimp diagnostic allergen extract']
C1445489	['Cotton (crude fibers) diagnostic allergen extract', 'Cotton (crude fibres) diagnostic allergen extract', 'Cotton crude fibers specific diagnostic allergen extract (product)', 'Cotton crude fibers specific diagnostic allergen extract', 'Cotton crude fibres specific diagnostic allergen extract']
C1445490	['Daphnia diagnostic allergen extract', 'Daphnia, fish feed specific diagnostic allergen extract (product)', 'Daphnia, fish feed specific diagnostic allergen extract']
C1445491	['Seminal fluid diagnostic allergen extract', 'Seminal fluid specific diagnostic allergen extract (product)', 'Seminal fluid specific diagnostic allergen extract']
C1445492	['Staphylococcal enterotoxin A diagnostic allergen extract', 'Staphylococcal enterotoxin A specific diagnostic allergen extract (product)', 'Staphylococcal enterotoxin A specific diagnostic allergen extract']
C1445493	['Staphylococcal enterotoxin B diagnostic allergen extract', 'Staphylococcal enterotoxin B specific diagnostic allergen extract (product)', 'Staphylococcal enterotoxin B specific diagnostic allergen extract']
C1445494	['Staphylococcal enterotoxin C diagnostic allergen extract', 'Staphylococcal enterotoxin C specific diagnostic allergen extract (product)', 'Staphylococcal enterotoxin C specific diagnostic allergen extract']
C1445495	['Staphylococcal enterotoxin D diagnostic allergen extract', 'Staphylococcal enterotoxin D specific diagnostic allergen extract (product)', 'Staphylococcal enterotoxin D specific diagnostic allergen extract']
C1445496	['Staphylococcal enterotoxin diagnostic allergen extract', 'Staphylococcal enterotoxin toxic shock syndrome toxin specific diagnostic allergen extract (product)', 'Staphylococcal enterotoxin toxic shock syndrome toxin specific diagnostic allergen extract', 'Staphylococcal enterotoxin TSST specific diagnostic allergen extract', 'TSST (Toxic shock syndrome toxin)', 'TSST-1 specific diagnostic allergen extract']
C1445497	['Tenebrio mollitor specific diagnostic allergen extract (product)', 'Tenebrio mollitor specific diagnostic allergen extract', 'Yellow mealworm larva diagnostic allergen extract']
C1445498	['Tetramin diagnostic allergen extract', 'Tetramin, fish feed specific diagnostic allergen extract (product)', 'Tetramin, fish feed specific diagnostic allergen extract']
C1445499	['Tobacco leaf diagnostic allergen extract', 'Tobacco leaf specific diagnostic allergen extract (product)', 'Tobacco leaf specific diagnostic allergen extract']
C1445500	['Anisakis diagnostic allergen extract', 'Anisakis specific diagnostic allergen extract (product)', 'Anisakis specific diagnostic allergen extract']
C1445501	['Ascaris diagnostic allergen extract', 'Ascaris specific diagnostic allergen extract (product)', 'Ascaris specific diagnostic allergen extract']
C1445502	['Echinococcus diagnostic allergen extract', 'Echinococcus specific diagnostic allergen extract (product)', 'Echinococcus specific diagnostic allergen extract']
C1445503	['Acacia longifolia specific diagnostic allergen extract (product)', 'Acacia longifolia specific diagnostic allergen extract', 'Acacia tree diagnostic allergen extract']
C1445504	['Acer negundo specific diagnostic allergen extract (product)', 'Acer negundo specific diagnostic allergen extract', 'Box elder diagnostic allergen extract']
C1445505	['Aesculus hippocastanum pollen specific diagnostic allergen extract (product)', 'Aesculus hippocastanum pollen specific diagnostic allergen extract', 'Horse chestnut pollen diagnostic allergen extract']
C1445506	['Alnus incana specific diagnostic allergen extract (product)', 'Alnus incana specific diagnostic allergen extract', 'Gray alder diagnostic allergen extract', 'Grey alder diagnostic allergen extract']
C1445507	['Arecastrum romanzoffianum specific diagnostic allergen extract (product)', 'Arecastrum romanzoffianum specific diagnostic allergen extract', 'Queen palm diagnostic allergen extract']
C1445508	['Betula verrucosa specific diagnostic allergen extract (product)', 'Betula verrucosa specific diagnostic allergen extract', 'Birch tree diagnostic allergen extract', 'Common silver birch diagnostic allergen extract']
C1445509	['Carpinus betulus specific diagnostic allergen extract (product)', 'Carpinus betulus specific diagnostic allergen extract', 'Horn beam diagnostic allergen extract']
C1445510	['Carya pecan pollen specific diagnostic allergen extract (product)', 'Carya pecan pollen specific diagnostic allergen extract', 'Pecan tree diagnostic allergen extract']
C1445511	['Australian palm diagnostic allergen extract', 'Casuarina equisetifolia specific diagnostic allergen extract (product)', 'Casuarina equisetifolia specific diagnostic allergen extract']
C1445513	['Castanea sativa pollen specific diagnostic allergen extract (product)', 'Castanea sativa pollen specific diagnostic allergen extract', 'European chestnut pollen diagnostic allergen extract', 'Sweet chestnut pollen diagnostic allergen extract']
C1445514	['Corylus avellana pollen specific diagnostic allergen extract (product)', 'Corylus avellana pollen specific diagnostic allergen extract', 'Hazel diagnostic allergen extract']
C1445515	['Cryptomeria japonica specific diagnostic allergen extract (product)', 'Cryptomeria japonica specific diagnostic allergen extract', 'Japanese cedar diagnostic allergen extract']
C1445516	['Cupressus sempervirens specific diagnostic allergen extract (product)', 'Cupressus sempervirens specific diagnostic allergen extract', 'Italian cypress diagnostic allergen extract']
C1445517	['Eucalyptus species specific diagnostic allergen extract (product)', 'Eucalyptus species specific diagnostic allergen extract', 'Eucalyptus tree diagnostic allergen extract']
C1445518	['American beech diagnostic allergen extract', 'Fagus grandifolia specific diagnostic allergen extract (product)', 'Fagus grandifolia specific diagnostic allergen extract']
C1445519	['Fraxinus americana specific diagnostic allergen extract (product)', 'Fraxinus americana specific diagnostic allergen extract', 'White ash diagnostic allergen extract']
C1445520	['Juglans californica pollen specific diagnostic allergen extract (product)', 'Juglans californica pollen specific diagnostic allergen extract', 'Walnut tree diagnostic allergen extract']
C1445521	['Juniperus sabinoides specific diagnostic allergen extract (product)', 'Juniperus sabinoides specific diagnostic allergen extract', 'Mountain juniper diagnostic allergen extract']
C1445522	['Ligustrum vulgare specific diagnostic allergen extract (product)', 'Ligustrum vulgare specific diagnostic allergen extract', 'Privet diagnostic allergen extract']
C1445523	['Liquidambar styraciflua specific diagnostic allergen extract (product)', 'Liquidambar styraciflua specific diagnostic allergen extract', 'Sweet gum tree diagnostic allergen extract']
