DC0000000	['奥斯特公司。', '葛兰素史克加拿大公司', '许昌振德外科敷料有限公司。', '麦肯齐体育用品有限责任公司', '厄普舍史密斯实验室公司。', '普克伦斯配方公司。', '辉瑞制药比利时公司', '克罗格', '创意花园天然产品', 'i3制药有限责任公司', '斯派克特科学实验室公司', 'ONCODERM实验室有限责任公司', 'ZapVir公司。', 'Zydus制药（美国）有限公司。', '德尔金化妆品公司', '美丽建筑师有限责任公司', '圆桥公司', '广州市苍天生物科技有限公司。', '医疗科技产品公司。', '云雀Cmc']
DC0000423	['通州市德奇医疗用品厂', '金州医疗用品有限公司。C', '天堂空气清新有限责任公司', '佩尔加国际有限公司', '3M制药', '国际伦理实验室', '必需同位素', '黛布美国公司。', '陪伴美国公司', '拉霍亚制药公司', '易粉有限公司。', '云南白药集团有限公司。', '小丑全球品牌有限责任公司', "L'bris，纯天然", 'Ortho mcneil janssen制药公司', '阿勒姆比克制药公司。', '安万特制药有限公司。', '生物科学实验室', '细菌卫士公司', '清聪药业贸易有限公司']
DC0000424	['Solaray有限责任公司', '维维医疗公司', '红衣主教健康公司', '柳州两面针股份有限公司。', '创新的工具和设计', '莫尔顿布朗有限公司。', 'Freshorize有限公司。', '脂肪', '制造商化学品', '单位剂量服务', '默兹制药有限责任公司', '科加尼茨有限公司', 'Cavalier Ventures有限责任公司', '伯克哈特牙科用品公司', 'Biostar营养私人有限公司。', '智能科学实验室公司。', 'AmerisourceBergen制药公司（好邻居药房）24385', '真平衡体育有限责任公司', '德尔萨姆制药有限责任公司', 'Oscient制药公司']
DC0000425	['Rx精英', '新医疗科技公司。', '天空韩国有限公司', 'https:\\/\\/dailymed.nlm.nih.gov\\/dailymed\\/drugInfo.cfm?setid=5e0ef968-dff3-4446-8412-8085677332f0', '地球设施', 'PAR配方私人有限公司', '国际药店', '奥克鲁姆制药有限责任公司', '流感谷公司', '库克分销有限责任公司', '美国贝尔维尤酒店', '冷饮', '索诺兰营养有限责任公司', '托斯有限公司。', '北伊利诺伊州家庭医疗用品', 'Foxtron公司', '实验室系列区。', '加州制药有限责任公司', '北极星Rx有限责任公司。', '优质护理产品有限责任公司']
DC0000426	['Stanley Pharmaceuticals是Vita Health Products Inc.的一个部门。', 'Sanum Kehlbeck GmbH&Co.KG', "L'bri健康与美容", '基奥库克地区医疗设备和供应公司。', '斯特林奈特制药有限公司', '热带国际制造公司', '通用汽车工业公司。', 'Rion MediFab公司。', '美国压缩气体公司。', '科尔文件', '努沃制药公司。', 'BAE系统公司', '安泰费尔特公司', 'Energizer个人护理品牌有限责任公司', '礼来公司。', '达斯科家庭医疗设备有限公司。', '阿科拉实验室', '爱玛解决方案有限公司', '佛罗里达实验室公司。', '阿特拉斯油灰制品公司']
DC0000427	['Bizanne Korea', '诺文制药公司。', '无限全球公司。', '巴拉萨实验室公司。', '精密氧气供应', 'DispenceXpress公司。', '杭州格斯米德医疗器械有限公司。', 'Textel快递公司。', '巴克斯特公司', '荷兰眼科研究中心（国际）B.V。', '夏普国际分销商公司。', '迪尔公司', '普雷瓦尔集团有限责任公司', '拉科里姆健康美国公司。', '尚特凯尔博特公司', 'Omnilife Manufactura，S.A.De C.V。', '化妆品解决方案有限公司', '胜利制药', '夏尔公司。', 'TIMS SOUTH TEXAS LLC']
DC0000428	['连续体', '沃尔格林', '哈默恩制药公司', "River's Edge Pharmaceuticals，LLC", '布莱克莫尔销售公司', '布雷迪工业有限公司', '特拉科', '全国制药有限责任公司', '生物制药公司。', '兰尼特公司', 'Shopko商店运营有限责任公司', '德特拉佩尔公司。', '梅塞尔加拿大公司。', '基克斯蒂克安全有限公司', '明仕科技有限公司。', '伊瓦克斯制药公司', '艾洛·R·詹姆斯中尉。', '阿姆斯特朗制药公司', '常春藤干燥公司。', '阿尔沃']
DC0000429	['欧睿国际有限公司', 'Point控股公司', '预想PSJ有限责任公司', 'BELAR S.A.DE C.V.实验室。', '阿拉布尔有限公司。', '洛基山自然实验室有限责任公司', '瓦卢商品公司', '艾米莉亚个人护理公司。', '桶屋蒸馏公司。', '米利森特美国公司。', '梅杰公司', '江西康之初实业有限公司。', '广州福达生物科技有限公司。', 'Surgimed公司', '义乌市立翔日化有限公司', 'Silarx制药公司', 'GOJO工业公司。', 'SNS分销有限责任公司', '自然明智解决方案有限责任公司', '晨星美学']
DC0000430	['贸发局有限公司', '家庭健康', '可证明化妆品公司KIMYA URUNLERI SANAYI DIS TICARET LIMITED', '实验室Lalco公司。', '威尔希尔制药公司。', '瑞宝有限公司', '科顿里德公司。', '胡科德有限公司。', '瑞典孤儿BIOVITRUM AB（PUBL）', '大草原', '联合国际公司', '灵魂股份有限公司。', '马德护肤有限责任公司', '国际超级分销公司。', '金薄荷制品有限公司。', 'Mission Pharmacal', '瓦克芬食品公司', '马尔卡尔实验室有限公司', '集成生物系统有限责任公司', '斯特姆林治疗公司。']
DC0000431	['拜耳医疗制药公司', '麦克斯古特生化有限公司', '红色代码四有限公司', '琼斯包装公司艾弗斯·李分部。', '克罗斯', '激励制药公司。', '台州邦特家具有限公司', '北极星Rx有限责任公司', '防污染环境解决方案FZE', '斯坦福大学', 'Verity制药公司。', 'Sugarleaf实验室公司。', '阿法克斯制药有限责任公司。', '卤代烃实验室', '新制药公司。', 'OPMX', '英国皇家空军有限责任公司', '完全护理公司', '韩国莫丹', 'Mcl企业']
DC0000432	['麦格纳化学国际实验室', '广州美容化妆品有限公司', '肯尼农场蒸馏有限责任公司', 'UCS健康私人有限公司', '生物健康小组', 'Manna Omni国际公司', '艾图治疗有限责任公司', '零到七公司。', '德隆实验室（1990）有限公司。', '理智', 'Plastikon医疗保健有限责任公司', '四川苏爽医疗用品有限公司', '处方护理有限责任公司', '化学销售公司。', '呼吸医疗服务', '力量', '家庭健康医疗设备公司。', '生物制品实验室有限公司', '三州牙科', '萨尼克林南德R.L。']
DC0000433	['丹尼森制药有限公司', 'T.Z.贸易公司。', '维维德实验室有限公司', 'CutisPharma公司', '宁波利源日化制品有限公司。', '亨威尔公司', '生物医药', '迈兰实验室有限公司', '浙江美之源化妆品有限公司', '艾图疗法', '埃斯特拉·斯普尔', 'H.E.巴特杂货公司。', '虎豹医药保健', 'Dynarex公司', 'B&B产品制造有限责任公司', 'Azurity制药公司。', '广州迪士制药有限公司。', '爱国者制药有限公司', '洛索肿瘤公司。', 'Sage产品有限责任公司']
DC0000434	['维京化学公司', '贝弗利山庄控股有限公司，。有限公司。', '礼来公司。', 'G2产品有限责任公司', '奎米清洁', '老虎供应公司', 'RFX制药有限公司。', 'Quadex有限责任公司', '戴尔公司，一家汉高公司', '哈尔西制药公司', '诺斯特鲁姆制药公司', '让-皮埃尔公司。', 'Altimed制药公司。', '玛加瓷砖公司', '华盛顿大学', '性能健康公司。', 'W.K.巴克利有限公司。', '斯特林温斯洛普公司', '北极光乙醇有限责任公司', '西支麦芽有限责任公司']
DC0000435	['江苏明盛纺织科技有限公司', 'Le Naturiste J.M.B.公司。', 'Partners Health Care公司。', '威拉德制造公司。', '弗洛拉泰克植物有限责任公司', 'Ecolab食品安全专业公司。', 'Synerx制药有限责任公司', '投标公司Dba冒险医疗包', 'JMAX加利福尼亚公司。', 'Qualitest制药公司。', '罗氏注册Gmb H', '亨利·谢恩公司', '宁波远东实业有限公司', '坦帕湾朗姆酒公司', '领克医疗有限公司。', '默弗里斯伯罗医药护理用品有限公司', '乔纳森国际公司。', '索尔布约米克斯', '贝州家庭输液和呼吸服务', '扬州凯莱酒店设施有限公司。']
DC0000436	['语言学家。有限公司', '托普特伦茨', '默勒酿酒谷仓有限责任公司', 'Genomma实验室美国公司', 'Amerisource Bergen\\/好邻居药房', 'Avpak公司', '紧急生物防御行动兰辛有限责任公司', '江门市水子润卫生用品有限公司。', '医疗用品', '北加利福尼亚州和内华达州航空天然气公司。', '美国特瓦制药公司', '马洛普制药公司。', '聚信（江苏）新材料包装有限公司。', 'GNCOS有限公司。', '深圳市威康实业有限公司', '质量选择', 'Alt Zero', '浦江市世佳丽化妆品有限公司。', '雷耶斯·阿维祖，巴尔比纳', '林森制药公司。']
DC0000437	['普莱克斯加拿大公司。', '迈步消费者有限责任公司', 'Bionomix制造有限责任公司。', 'D-COL公司', '洛纳米德品牌（加拿大）有限公司。', '首选制药公司。', '妇科营养药理学', 'Ls专业服务国际公司', 'Matramed制药有限公司。', '浙江点丰实业有限公司。', '浙江义乌明沟生物科技有限公司。', '巴里制药公司', 'Hydrox实验室', '塞拉科斯公司。', '墨西哥国家实验室', '维斯塔堡有限责任公司', 'Estreno制药有限责任公司', 'Petnet解决方案公司。', '制药科学公司Pendopharm部门', 'BTG国际公司。']
DC0000438	['J和L蒸馏公司', '生物节律有限公司', 'Humn制药公司', 'APP制药公司。', '全球健康解决方案有限公司', '生物疗法公司。', '通用制药公司', '新制药公司', '北美药剂学', '洛拉维加公司。', '奇迹产业', '普罗米修斯实验室', '支持医疗公司', 'J世界', '潘趣工作室有限责任公司', '创新制造和分销服务公司。', '文图拉公司', '爱德国际有限公司', '百时美施贵宝加拿大公司的施贵宝诊断部。', '格林威治生物科学公司。']
DC0000439	['斯鲁奇博士公司。', 'LaRose Industries DBA Cra-Z-Art', '圣日耳曼公司', '美国千禧研究有限公司', '耶奥加亚', '先灵公司。', '泰南医疗有限公司。', '佐金投资回报有限公司', 'Uintah盆地医疗中心Dba家庭医疗设备和供应', '巴博化妆品美国公司。', '岛屿供应焊接公司', 'Solutech制药有限公司', 'Nextgen制药有限责任公司', 'Ffreds公司', '自由化学公司', '恩多坎救济有限责任公司', 'SOHM公司。', '邦科有限公司', '两个Mp投资公司Dba Respicare', 'HWL控股有限责任公司']
DC0000440	['Egalet美国公司。', '我的进口公司', 'Edgewell个人护理品牌有限责任公司', '化妆艺术商店公司', '强生消费品公司。', '海信药业美国有限公司', 'OCG产品有限责任公司', '阿维尔制药公司。', '阿尔法美制药部', '国际分销系统公司。', '安全供应有限责任公司', '未指明', '丽晶医疗美洲有限公司', '折扣药店公司。', 'Thru Pharma，Llc', '草帽酿酒厂', '索洛帕克医疗产品公司', 'Jc世界贝尔批发有限公司。', '挪威可燃物DG S de RL de CV', '沃尔玛公司。，']
DC0000441	['江苏奥佩尔日用化妆品有限公司。', 'Opto Pharm私人有限公司', '水晶克莱尔化妆品公司。', '广州北鹰科技有限公司', '阿塔维斯制药公司', '埃森丹特公司。', '河边制药公司', '欧米茄包装公司', '11569635加拿大公司', '科斯美国公司。', '化妆品企业有限公司。', '图形控件', 'Scite制药有限责任公司', '清洁家庭', '美国顶级品牌', '顶点制药公司', '连锁药品联盟有限责任公司。', 'Transcept制药公司。', '迈兰·伯泰克制药公司', '戴尔公司灰狗公司']
DC0000442	['尼克斯德马', '阿布基特公司。', 'Medsource制药公司', '舍勒实验室', '玫瑰香公司。', '生物制药公司', '日出制药公司。', 'W.F.杨公司。', '干净的', '转让技术', '普兰蒂姆国际公司', '古德地球分销有限公司', '凤凰鸟。，有限责任公司', '核心家园', '生活更好品牌有限责任公司', '诺瓦德尔制药公司。', '地平线制药公司。', '纽约阿姆尼尔制药有限责任公司', '榆阳市高新技术开发有限公司。', '星冠医疗私人有限公司']
DC0000443	['产品四', '普兰尼克公司', '约旦标准', 'K2分销有限公司', '大草原公司。', '首尔化妆品有限公司', 'G&j股份有限公司。', '亲和力集团有限责任公司。', '法国罗纳普朗克制药公司', 'Jr化妆品有限公司', 'Tripod家庭足部护理中心有限公司。', 'Lilyana Naturals有限责任公司', '宁波联合集团进出口有限公司。', '杜克坎农供应公司。', '阿克帕里奇', '阵列生物制药公司。', '甜草农场', '12点酿酒厂', '药剂师公司', '安姆特克']
DC0000444	['PSSI化学创新', '威美连云港家居用品制造有限公司', 'Houbigant（1995）ltÉe。', 'Biovitrum Ab（Publ）', 'R2B韩国公司', 'INNOVACIONES COSMETICO FARMACEUTICAS SL。', '瑞基特本克斯公司', '化学品分销商公司', '星体的', '科斯莫根有限公司。', '里斯制药公司', '莱奥松', '凯德里恩生物制药公司。', '安利公司', '德玛拉公司', 'KD制药美国公司。', 'Kanamed公司。', 'Anpharm Inc.转交斯蒂克曼·埃利奥特', 'Rb健康（加拿大）有限公司。', '风城蒸馏公司。']
DC0000445	['MedGyn产品公司。', 'Solutions Plus公司。', '通用品牌公司。', '克莱斯拉布有限公司', '浙江鼎泰药业有限公司。；有限公司', '质量选择（连锁药品营销协会）', 'GFL SA', 'PLANTIMEX分销商公司', '江苏舒实生物科技有限公司。', '基岩品牌有限责任公司（圣约瑟夫）', '塞拉斯医疗公司', 'PuraCap实验室有限责任公司', '希金斯和菲利普斯创新公司。', '生物膜公司', '厄尔贝克焊接用品', 'TCNY产品有限责任公司', '角落医疗', '比奥泰克公司', '瓦尔斯合成有限公司。', '罗托普制药有限公司']
DC0000446	['凯拉娜制药公司。', '科莱吉姆制药公司。', '雷迪博士实验室公司。，', 'Innovent公司', '卡拉达创意集团', '赛诺菲-安万特美国有限责任公司', '阿尔法法姆派对有限公司', '比奥诺纳有限公司', '普瑞莫里斯国际有限公司。', '强生股份有限公司', '帕普萨尼斯公司。', '深圳市友美凯科技有限公司。', '杭州杰翔科技有限公司。', 'Q生物医药公司', 'C.D.M.A.公司', '生物制药公司。', '惠斯克产品公司。', 'ResiCal公司。', '弗洛拉的黄金', '惠氏制药公司']
DC0000447	['创新生物防御', '阿克拉Pac公司（DBA KIK Indiana）', '贾法姆加拿大公司。', '布利斯特公司', 'Sedor制药有限责任公司', '林德燃气设备公司。', '卡斯马拉化妆品有限公司。', '特鲁莫Bct有限公司', 'Dermalogica有限责任公司', '尤里卡氧气公司', '卡伦产品有限责任公司', 'Octaharma Pharmazeutika生产商M B H', 'Toprol收购有限责任公司', '太郎制药工业有限公司。', 'F21 OpCo，LLC', 'Prime Pace产品有限公司', '易港美国有限责任公司', '美国化学公司', 'Accumix制药公司', '奥斯莫蒂卡制药公司']
DC0000448	['泰勒制药公司', '绿色制药有限公司。', '奥丹实验室有限公司', '韦格曼食品市场公司', 'Conopco，Inc.d\\/b\\/a联合利华', '永强企业有限公司。', '郑州吉尔康消毒用品有限公司。', '卑尔根美国资源有限责任公司', '福建美谷林生物科技有限公司。', '雷迪博士实验室有限公司', '安布罗斯立方有限责任公司', '我的进口美国公司', '爱尔康公司', '韦斯特波特制药公司', 'RZN营养食品公司。', '卡萨德公司', '纯牛有限责任公司', 'USV北美公司。', '克罗格', '阿维贝尤蒂有限公司。']
DC0000449	['卢巴斯生物有限公司', '列克制药化工有限公司', '菲洛公司', '制药公司', '布利斯GVS制药有限公司', '韩国麦迪韦酒店', '维奥纳制药公司', 'Gen Z Online Llc', '比尔卡尔公司。', '华纳兰伯特加拿大公司Omni实验室部门。', '合成代谢实验室公司。', '里梅尔公司。', '自然疗法整体健康', '环境应用技术公司', 'J-Mark国际公司', 'Rxv', '科斯博蒂实验室与制造有限公司。', 'Medisys美国公司。', 'Dentsply Llc.专业部门作为“Dentsply Professional”进行交易', '夏季鞋底有限责任公司']
DC0000450	['客户公司。', '五大湖批发与营销有限责任公司', '伊沃卢斯公司', 'SKYMO有限责任公司', '阿米拉制药有限责任公司', '佩特拉卫生系统国际有限公司', '国际同位素公司', '中远医疗科技有限责任公司', 'Savy Labs，S.A.de C.V。', '耶格里纳有限公司。', '巴克斯特医疗保健公司', '南非医药保健有限公司', '家庭美元服务公司。', '杰森战略营销有限责任公司', 'Cellchem制药公司。', '赛罗亚国际公司。', '伊利湖医疗DBA优质护理产品有限责任公司', '杂工材料有限责任公司', 'Lob20', '预包装专家']
DC0000451	['Intervet国际', '达博国际有限公司', '健康链接', 'Zyber制药公司', '克雷莫公司', '苏黎世医疗实验室有限责任公司', '你好产品有限责任公司', '生物膜', 'SUPERVALU公司', '布伦海姆制药公司。股份有限公司。', '艾比芬恩有限责任公司', '法梅拉尔公司', 'InvaTech制药解决方案有限责任公司', '雷神公司', '变革事业有限责任公司', 'Vitavie Au Naturel 9023 3503魁北克公司。', '生物晶体制药公司。', '斯坦克斯私人有限公司', '珠海巨力生物科技有限公司。', '圣克罗斯有限责任公司']
DC0000452	['河源市永嘉企业有限公司。', 'AVACOR产品有限责任公司', '迈兰学院', '青蛙王子（中国）日化有限公司。', 'Phenom营销集团有限公司。', '泰勒·詹姆斯有限责任公司', 'Shopko商店正在营业', 'KV制药公司', '沃尔玛公司。，', '药业科技有限公司', '第一家庭医疗有限公司', '诺瓦石油化工公司', '强生消费品公司，强生消费品公司分部。', '肯姆·克雷斯特', '韩国欣恩', '大苏里亚马斯酒店', '嘉华威尔食品有限公司', '科克斯莱德有限公司。', '范蒂博利美容公司。', '阿克里马克斯制药公司']
DC0000453	['布里奇沃特蜡烛公司', '蒙塔尼化妆品公司', '凯西琼斯酿酒厂', '医疗舒适系统公司', '瑞士国际', '创新制造和分销服务公司。', 'Ecom食品工业公司', '每日团体限制', 'J&S创意有限责任公司', 'Ridgeview家用医疗设备', '达科塔实验室有限责任公司', 'YOZO化妆品有限公司', '农场和精神公司。', 'ActivPower公司。', '美国安全技术公司', '威斯康星州医疗回旋加速器有限责任公司', '宝洁制药', '克拉克植物有限责任公司', '阿夫莫尔', 'RWM技术']
DC0000454	['阿文代尔制药有限责任公司', 'Bb股份有限公司。', '梅塔肯实验室', 'PEDIFIX公司，', '国际制药公司。', '装甲工业制造公司', '美国消费品公司', '里士满药房', '高级剂型公司。', '真值公司', 'TAE-IL生物HNB', 'Innogene有限公司', 'Natureplex有限责任公司', '凯特制药公司。', '内陆焊接供应dba A A-L压缩气体', '国际商品集团', '坎特伯雷清洁有限责任公司', '丑狗酿酒厂有限责任公司', '天兆科技有限公司', '真皮来源公司。']
DC0000455	['JJ普菲斯特蒸馏公司', 'RB健康美国有限责任公司', 'CJ Olive Young公司', 'Kinh Buluc，S.A.P.I.de C.V。', '泰化妆品有限公司', '米德兰产品有限公司', '绿海狸有限公司。', '气道氧气公司', '氢化物化学公司。', '米卡制药有限责任公司', '美国格伦马克制药公司', '斯派克连接国际公司', '皮埃尔·法布尔药剂', '广东湛江吉民药业有限公司', 'Interkos有限公司。', '农民和酿酒商', '基石药房', '阿吉拉专业私人有限公司', '国际制药公司（Pii）', '血液学公司。']
DC0000456	['性能化学公司', '共生公司。', '保护U Guard有限责任公司', '特瓦呼吸有限责任公司', 'AEIS有限责任公司', '后代美容公司。', '方药业有限公司', 'Gentell公司，。', 'Twinluxe有限责任公司', '齿状嵌缝', '生物细菌保护有限公司', '麦凯森包装服务公司', '金雷', 'Celgene Europe Bv', '塔罗制药北美公司', '戴维斯股份有限公司。', '汤普森安全有限公司', '保世健康爱尔兰有限公司', '安达法姆有限责任公司', '艾米莉亚个人护理公司']
DC0000457	['Apex国际制造公司', '米德尔塞克斯气体与技术公司。', '特温品牌公司。', '基拉实验室公司', 'W H古代尔公司', '猎鹰精神有限责任公司', '地标医疗公司。', '美达制药有限公司', '特里根实验室公司。', '国际品牌', '昆明安盛工贸有限公司。', '三合会组织', '普罗米乌斯制药公司', '鸿儒企业有限公司。', '先灵葆雅医疗产品公司', 'S.E.N.D.有限责任公司', '洛亚生物公司。', '生物医药资源公司。', '三野国际有限公司。', '塔尔森乙醇']
DC0000458	['A.D.S.销售公司。', '萨斯科化学集团有限责任公司', '时代有机物', '苏美克五金工具有限公司。', '山姆西部公司', 'Scerene医疗保健公司。', '巴尔德公司', '泰科医疗保健公司', 'AG Marin制药公司', '奶油店公司', '吉亚进化酒店', '伊万根制药公司', '免疫概念', '处方药公司。', 'SVS有限责任公司（DBA S2S Global）', '黑龙江华神科技发展有限公司', '沃尔特表面技术公司。', '红衣主教健康418公司', '根萨维斯有限责任公司', '拱顶铁酒厂']
DC0000459	['美国酿酒公司', '供应链资源有限责任公司', 'Trans Canaderm公司。', '自然工厂有限公司。', 'BWXT医疗有限公司。', '雪莱卡航空护理私人有限公司', '利德尔·科兹梅蒂克', 'TrueFit RX有限责任公司', '项目化学公司。', '糖厂蒸馏厂', '马萨诸塞州公共卫生', '领先时代用品', '上海世界展望实业有限公司。', '罗克斯玛实验室', '企业分销有限公司。', '英国诺丁汉靴子公司', '奥肯制药公司。', '阿达米斯实验室', '生物传递科学国际公司。', '格伦威农场公司。']
DC0000460	['E.T.布朗制药有限公司。', 'Lentus有限责任公司', '阿伯制药有限责任公司', '梅尔诺曼化妆品公司。', '美国专业复合中心有限责任公司', '跨境制造商公司。', 'Steltz Pharmacy，Inc.d\\/b\\/a合并医疗供应', '兰尼特公司。', 'Faspac包装有限公司', 'Ltc产品公司。', '莎希化妆品有限责任公司。', '杜洛最后', '诺沃根制药有限责任公司', '杜拉微公司', 'PuraVation制药公司', '首选制药公司。', 'Oasmia制药公司', 'Hikma Farmaceutica（葡萄牙）股份有限公司。', 'Afribaby有限责任公司', '法莱科营销公司。']
DC0000461	['托法姆公司。', 'WM耐火材料有限公司。', 'Akcea治疗公司。', '千伏制药公司', '无瑕护肤有限责任公司（dba Abby Skin Care）', '沃森实验室公司。', '乐音环球有限公司。', '施瓦兹股份有限公司', '铬酸盐工业公司', 'Emag公司', '帕绍尔制药Gmb H', '阿特拉斯焊接供应公司。', '大西洋生物制品公司。', 'Oread治疗有限责任公司', '克罗吉公司。', '个人护理产品有限公司', '康科德生物科技有限公司', '克雷奇曼宠物中心', '阿姆维拉布有限责任公司', '1stopresourcegroup']
DC0000462	['自然平衡', '科达多斯公司。', '兰开斯特利海谷呼吸护理中心', '深圳市易信环保科技有限公司。', '塔普制药公司', '三王公司', '曼金公司', '奥巴制药公司。', '安科制药美国公司。', '芦荟集团公司。', '格贝克斯公司。', '电解创新有限责任公司', '诺文治疗有限公司', '福州娟娟无纺布制品有限公司。', '夏尔人类基因疗法公司', 'Ultra Mix（Aust）私人有限公司', '小制药公司。', '达瓦制药公司。', '山东泰福无纺布有限公司', 'Akorn消费者健康']
DC0000463	['呼呼公司', '化学', 'MonaStar有限责任公司dba Hand博士', '芦荟产业私人有限公司', '模仿设计有限责任公司', '米丽娜全球酒店', '静默品牌公司。', '萨默斯实验室', '南方销售服务公司', '汤姆来自缅因州', 'Allapure有限责任公司', '奥鲁姆塞拉公司', 'C.V.A.阿尔塔Pureza Quimicos产品。', '卡利化学制药有限公司', '查德威克制药有限责任公司', '极乐世界制药有限公司', '怀特格洛美国公司', '抗原实验室公司。', '武田制造奥地利公司', '将药品作为']
DC0000464	['Curetech护肤品', '黑板健康公司', 'Kalsec公司。', '瓦卢商品公司。', '路路进出口有限公司', '东莞市中诚卫生用品有限公司。', '医疗有限公司', '徐世贤有限公司', '98叶公司', '起源集团有限公司', '连锁药品制造协会', 'F21 OpCo，LLC', '雷迪博士实验室加拿大公司。', '深圳市玉琴堂盛武积述有限公司。', '普渡制药有限公司', '阿贝萨有限公司', '奈特设施管理公司。', '科塞公司', 'Isotex诊断', 'α-氧-Med']
DC0000465	['Syntex SA', 'DBK韩国有限公司。', '特瓦品牌医药产品研发公司', '环境科学技术公司', '奥尼生物技术公司。', 'Paula’s Choice有限责任公司。', "SAKRX有限责任公司dba Kohll's RX", 'H2O Plus有限责任公司', '医生配方食品公司。', '深圳市天德药业有限公司。', '产品探索制造', 'Altona化妆品技术（Dba Note化妆品）', '我们的树有限公司', '森林治疗公司。', '生态解决方案公司。', '梅森迪克森烈酒有限责任公司', '蓝点', 'Fisa C.A.实验室。', 'Hims公司。', '黑狗蒸馏']
DC0000466	['L.莫伦西和费尔斯公司。', 'Azurity制药公司', 'Groupe Dissan公司。', 'Winmedia24', '亚历克索公司', 'Hyalogic有限公司', '大自然力量有限责任公司', '品质健康创新有限公司', 'APP制药有限责任公司', 'Carribbean Medical Brokers d.b.a.专业医疗用品', 'Trace Eye-D有限责任公司', 'Crc（宇宙医学研究中心）', '克洛维斯肿瘤学爱尔兰有限公司', '高级健康公司', 'Heggoline，S.A.de C.V。', '仙妮德制造有限公司。', '加泰隆医药解决方案有限责任公司', '赞德拉有限责任公司', '街头合法洗手液', '莱纳斯生命护理私人有限公司']
DC0000467	['迈兰·特奥兰塔', 'TB医疗保健有限公司。', '底特律氧气和医疗设备公司。', '赛普国际公司。', '阿古龙制药公司。', '药业股份有限公司。', '扬州威德利贸易有限公司。', '义乌帕发贸易事务所（普通合伙）', '京南大学信息技术学院工具包生活科学', '新感觉', '格里曼，S.A.de C.V。', '京士威道', '宝石凹痕', '阳光股份有限公司', '纳布里瓦治疗美国公司。', '广州科瑞斯生物科技有限公司。', '海维公司', '高效实验室公司。', 'GS-TK有限公司', '边境合作社']
DC0000468	['Pharma Pac有限责任公司', '吉永益股份有限公司。', '安肯制药公司。', '倾斜疗法欧洲有限公司', '像哇', 'Hikma farmaceutica（葡萄牙）股份有限公司', 'Gns美国公司。', 'Biomet生物制品公司', '夏尔NPS制药公司。', '法利恩药妆有限公司。', 'Bio Shine公司。', '杰米公司', '益普森制药公司。', 'Gms', 'J.A.化妆品美国公司', '阿尔卑斯医疗有限责任公司', 'Innovida制药公司', 'Pns药物治疗', '我的医疗包装有限公司合同包装', 'KAS Direct LLC dba BabyGanics']
DC0000469	['中远瑞斯有限公司', '默克欧洲公司。', '全清产品公司', '健康综合医疗公司', '慈悲家庭护理', '沃尔玛商店公司', '广州市喜然化妆品有限公司', 'A至Z国际公司', '鲜活化妆品有限公司。', 'Apria医疗保健有限责任公司', '惠斯美体产品', '格拉吉姆公司。', '镜像医学美学有限责任公司', '安葬', '认知科学公司。', '格鲍尔公司', '金妮灯丝有限公司', '安万特巴斯德有限公司', 'Innovus制药公司。', '至日神经科学有限责任公司']
DC0000470	['Pic公司', '约科销售与营销公司', '江西振美生物科技有限公司', '沃尔玛商店公司', '华纳奇尔科特公司。', '因伍德实验室公司。', '阿盖尔焊接供应公司。', '江苏海达国际贸易有限公司。', '江西艾里斯化工有限公司', '普莱恩产品', '德帕克公司', 'Ortho Mc Neil制药公司', '奥尼克斯制药公司。', '是奇迹有限公司', '赫尔辛恩治疗学（美国）有限公司。', '综合绿色力量有限责任公司', '维雷德里蒙有限公司。', '沙斯塔医疗设备', '波士顿营养药品生产有限公司', '医疗采购解决方案。有限责任公司']
DC0000471	['信封集团有限责任公司', 'Sisquoc医疗保健公司', '阿科恩公司', 'OL PHARMA TECH有限责任公司', 'C.V.股份有限公司。', '威斯康星大学系统', '广州四飞利清洁用品有限公司清远分厂。', '施密特烈酒有限责任公司', 'Chae Organics有限责任公司', '韶关市联帮环保材料有限公司', '生物飞机公司。', '内分泌公司', 'Afn经纪有限责任公司。', '广州欧妙化妆品有限公司。', '爱平制药', 'First Medical Infection Control Associates公司。', 'Shopko商店经营有限责任公司', 'Maki Creations公司。', '百达科技有限公司。', 'Expro3有限责任公司']
DC0000472	['CB谢尔顿企业有限责任公司。', '尤萨制药公司。', '目标品牌', '麦卡比医疗公司。', '诺布尔根有限责任公司', 'DT胶原蛋白公司', '汉弗莱卫生用品有限公司。', 'Caremark L.L.C。', '大本营贸易有限公司', '延科医疗和移动公司', '利夫萨药品有限公司', '公关贸易有限公司', '斯维克廷运营公司。', '帕特森牙科用品公司。', 'R2制药有限责任公司', '希根制药公司。', '法布坦阳光酒店', '南非卡斯马拉化妆品公司', '诚实环球公司', '国际批发公司']
DC0000473	['汉斯制造商公司。', '露西商品公司。', '查尔贝蒸馏器有限责任公司', '富勒顿焊接供应', '丹丹军事NJ公司。', 'Aplicare', '丹尼公司', '研究解决方案消费品有限责任公司', '护理代码公司', 'BioArmor有限责任公司', '水袋有限责任公司', '加罗巴黎酒店', '美国家庭呼吸护理公司。', 'Soluciones入口，S.A.de C.V。', '贝内特医疗服务公司', '华帝专业有限公司。', 'Immunex公司', '希瑟制药公司', '科罗斯生物科学公司', 'ECBlend有限责任公司']
